key,label,status,severity,note
"clone_private","Clone je private prema prethodnom QA-u","PASS","BLOCKER","Privatni clone mora ostati private."
"public_404","Privatni clone nije javno dostupan","PASS","BLOCKER","Javni fetch mora biti 404 ili bez izlaganja recepta."
"render_snapshot_not_empty","Render snapshot nije prazan","PASS","BLOCKER","HTML duljina: 3189."
"render_has_title","Render sadrži naslov recepta","PASS","MAJOR","Interni render mora sadržavati naziv."
"render_has_private_notice","Render jasno označava privatni status","PASS","MAJOR","Privatni sadržaj ne smije izgledati kao javni recept."
"meta_sections_json_present","_dry_recipe_sections postoji u result JSON-u","PASS","MAJOR","Meta sekcije moraju biti dostupne za renderer."
"meta_process_json_present","_dry_verified_process postoji u result JSON-u","PASS","MAJOR","Procesni meta mora biti dostupan."
"dcv_renderer_marker","DCV/Drycured renderer marker prisutan u renderu","FAIL","INFO","Ako ovo padne, clone je vjerojatno samo markdown/content snapshot, ne dokaz punog javnog renderera."
"raw_markdown_detected","Raw markdown nije dominantan","FAIL","INFO","Ako padne, sadržaj se možda ne renderira kroz konačni kartični prikaz."
"content_title","Sadržaj prisutan: title","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_raw_materials","Sadržaj prisutan: raw_materials","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_spices","Sadržaj prisutan: spices","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_liquids_garlic","Sadržaj prisutan: liquids_garlic","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_grinding","Sadržaj prisutan: grinding","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_casing","Sadržaj prisutan: casing","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_done_when","Sadržaj prisutan: done_when","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_errors","Sadržaj prisutan: errors","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
"content_blockers","Sadržaj prisutan: blockers","PASS","MAJOR","Obvezni sadržaj mora biti vidljiv u internom render snapshotu."
