post_id,meta_key,meta_value
2976,_dry_recipe_id,HR-SL-005
2976,_dry_recipe_full_markdown,"# HR-SL-005 — Slavonska domaća kobasica

## 1. Identitet recepta
- Kanonski naziv: Slavonska domaća kobasica
- Alternativni nazivi: nisu posebno zabilježeni u primarnom izvoru
- Država: Hrvatska
- Regija: Slavonija
- Mikroregija: širi prostor Slavonije, Baranje i Srijema
- Tip proizvoda: Kobasica
- Kategorija: trajni suhomesnati proizvod
- Status: kanonski recept Batch 01 — finalizirani tekst v0.3
- Izvor primarnog recepta: NEW_HR_V2, linija 823
- Povezani WP zapisi: 2187:HR-SLV-KOB-ZOZP-001
- Napomena o varijantama: varijante se vode kao zasebni recepti samo ako imaju drukčiji sastav, omotač ili tehnološki postupak.

## 2. Kratki opis
Slavonska domaća kobasica pripada slavonsko-srijemskom krugu suhomesnatih proizvoda. Slavonska domaća kobasica je slavonska trajna kobasica s paprikastim začinskim profilom, oblikovana za hladno dimljenje i postupno sušenje.

## 3. Regionalni identitet
Recept se oslanja na hladnu obradu mesa, odmjereno soljenje, slavonski začinski profil i kontrolirano sušenje ili zrenje. Regionalni identitet treba očuvati, ali tehnološke korake prikazati jasno i provjerljivo.

## 4. Standardna šarža
- Osnovna šarža: 10,00 kg mesne sirovine / osnovne sirovine, osim kod cijelih komada gdje se masa vodi prema komadu
- Napomena o preračunavanju: količine iz izvora pretvoriti i prikazati u kg gdje je primjenjivo

## 5. Mesni sastav i anatomski dijelovi
| Dio / sirovina | Količina (kg) | Uloga |
|---|---:|---|
| Svinjska plećka + vrat | 7,00 kg | Mješavina, malo masnoće |
| Tvrda slanina | 3,00 kg | osnovna sirovina |

## 6. Sastojci i začini
| Sastojak | Količina za 10 kg (kg) | Napomena |
|---|---:|---|
| Sol | 0,220–0,250 |  |
| Slatka paprika | 0,120–0,150 |  |
| Ljuta paprika | 0,020–0,050 |  |
| Bijeli luk | 0,030–0,050 | Tekući |
| Crni papar | 0,015–0,020 |  |

## 7. Crijeva / omotači
- Vrsta i kalibar: svinjska tanka ili ravna crijeva, najčešće 32–42 mm; kada recept navodi drukčiji kalibar, zadržati izvorni kalibar
- Namakanje: 2–12 sati, ovisno o vrsti i stanju omotača
- Tekućina: hladna voda; po potrebi dodati malu količinu octa radi ispiranja mirisa
- Prokuhano / hladno: voda za crijeva koristi se hladna i ne dodaje se u nadjev

## 8. Češnjak
- Oblik: procijeđena tekućina od češnjaka
- Količina češnjaka: 0,030–0,050 (Tekući)
- Tekućina za ekstrakciju: prokuhana i ohlađena voda
- Vrijeme ekstrakcije: 20–30 minuta
- Postupak: zgnječiti, preliti ohlađenom vodom, promiješati i procijediti kroz gazu
- Napomena: vlakna češnjaka ne dodavati izravno u nadjev

## 9. Oprema i alati
- Noževi, daska, posude, vaga, mlin za meso, punilica, igla za probadanje, konop/špaga, pušnica, termometar i higrometar
- Mljevenje / rezanje: meso najčešće 6–8 mm; masniji dio sitnije rezati ili mljeti prema tipu kobasice

## 10. Priprema mesa
Sirovinu dobro ohladiti, odstraniti neželjeno vezivo i raditi u čistim uvjetima. Masnije dijelove obrađivati dok su čvrsti i hladni.

## 11. Mljevenje / rezanje
- Standard prema tipu proizvoda: meso najčešće 6–8 mm; masniji dio sitnije rezati ili mljeti prema tipu kobasice
- Temperatura sirovine: što bliže 0–4 °C tijekom rada

## 12. Miješanje i odležavanje
Začine ravnomjerno rasporediti po mesu i masnoći. Miješati dok se masa ne poveže i ujednačeno oboji. Kod recepata s odležavanjem nadjeva, masu držati pokrivenu na 2–6 °C.

## 13. Punjenje i vezanje
- Oblik / duljina: 20–35 cm, ovisno o lokalnom običaju i crijevu
- Puniti kompaktno, bez zraka; vidljive mjehuriće odmah probosti čistom iglom

## 14. Predsušenje / početna fermentacija
- Trajanje: 1–3 dana prije dimljenja, dok površina ne bude suha na dodir
- Kontrolni znakovi: površina se postupno suši, miris ostaje čist, bez sluzi i bez kiselosti

## 15. Dimljenje
- Protokol: hladni dim u više blagih ciklusa, najčešće 3–10 ciklusa, uz pauze između dimljenja
- Dim mora biti hladan i blag; koristiti suho tvrdo drvo

## 16. Sušenje i zrenje
- Trajanje: 30–90 dana, ovisno o kalibru, masnoći i željenoj suhoći
- Uvjeti: hladan, taman i prozračan prostor, bez naglog isušivanja površine

## 17. Najčešće greške i rješenja
| Problem | Mogući uzrok | Konkretno rješenje |
|---|---|---|
| Razmazana mast u presjeku | Sirovina je bila pretopla ili je masnoća previše obrađivana | Raditi s ohlađenom sirovinom, masnoću rezati ručno gdje je predviđeno i skratiti miješanje |
| Zračni džepovi | Nedovoljno kompaktno punjenje ili neprobušeni mjehurići zraka | Puniti sporije i čvršće, vidljive mjehuriće odmah probosti čistom iglom |
| Kiseli miris | Previsoka temperatura, nečisto posuđe ili predugo stajanje nadjeva | Odvojiti sumnjiv proizvod; ubuduće držati masu na 2–6 °C i raditi u čistim uvjetima |
| Pretvrda površina, mekana sredina | Prebrzo sušenje, propuh ili preniska vlaga | Smanjiti propuh, stabilizirati vlagu i produljiti ravnomjerno zrenje |
| Prejak dim i gorka aroma | Previše dima, vlažno drvo ili premale pauze između ciklusa | Koristiti suho tvrdo drvo, dimiti kraće i ostaviti dovoljno pauze između ciklusa |

## 18. Posluživanje i čuvanje
### Zrenje i čuvanje
- Sušena varijanta: 2–4 tjedna
- Svježa (nedimljena): potrošiti u 3–5 dana ili zamrznuti
- Dimljena: do 6 mjeseci na suhom i hladnom

---

## 19. Kalkulator status
- Spremno za kalkulator: da, uz korištenje srednje vrijednosti raspona i prikaz izvornog raspona korisniku
- Nedostaje: završna kalkulatorska vrijednost za automatski izračun ako se ne koristi raspon

## 20. Sljedivost izvora
| Izvor | Linija / ID | Uloga |
|---|---|---|
| NEW_HR_V2 | linija 823 | Primarni izvor recepta |
| HR_BATCH_01_FINAL_GATE_v0.3 | proizvodni plan | Urednički status |
| HR-SL-001 — Slavonski kulen | model v1 | Strukturni model kanonskog recepta |
"
2976,_dry_recipe_import_version,batch01_web_import_v0_1_private
2976,_dry_canonical_batch,HR_BATCH_01_SLAVONIJA_BARANJA_SRIJEM
2976,_dry_canonical_status,public_ready
2976,_dry_country,Hrvatska
2976,_dry_region,Slavonija
2976,_dry_microregion,"širi prostor Slavonije, Baranje i Srijema"
2976,_dry_product_type,Kobasica
2976,_dry_category,"trajni suhomesnati proizvod"
