post_id,title,url,recipe_code,code_source,post_content_bytes,full_markdown_bytes,sections_bytes,data_bytes,dcv5_get_recipe_profile_exists,dcv5_profile_found,dcv5_profile_title,dcv5_profile_code,real_frontend_dcv5,visible_text_bytes,likely_gate_reason
1982,"FINOCCHIONA TOSCANA",https://drycured.com/recepti-baza/finocchiona-toscana/,MD-FINOCCHIONA_TOSCANA,_dry_recipe_id=MD-FINOCCHIONA_TOSCANA,4378,4378,0,6441,YES,NO,,,NO,1833,NO_DCV5_PROFILE
1983,"PROSCIUTTO DI SAN DANIELE",https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,MD-PROSCIUTTO_DI_SAN_DANIELE,_dry_recipe_id=MD-PROSCIUTTO_DI_SAN_DANIELE,3426,3426,0,8610,YES,NO,,,NO,1833,NO_DCV5_PROFILE
1984,"NDUJA CALABRESE",https://drycured.com/recepti-baza/nduja-calabrese/,MD-NDUJA_CALABRESE,_dry_recipe_id=MD-NDUJA_CALABRESE,4217,4217,0,6332,YES,NO,,,NO,1833,NO_DCV5_PROFILE
1986,"LARDO DI COLONNATA",https://drycured.com/recepti-baza/lardo-di-colonnata/,MD-LARDO_DI_COLONNATA,_dry_recipe_id=MD-LARDO_DI_COLONNATA,3965,3965,0,6573,YES,NO,,,NO,1833,NO_DCV5_PROFILE
1988,"SOPPRESSA VICENTINA",https://drycured.com/recepti-baza/soppressa-vicentina/,MD-SOPPRESSA_VICENTINA,_dry_recipe_id=MD-SOPPRESSA_VICENTINA,3806,3806,0,6290,YES,NO,,,NO,1833,NO_DCV5_PROFILE
1990,"SALAME DI FELINO",https://drycured.com/recepti-baza/salame-di-felino/,MD-SALAME_DI_FELINO,_dry_recipe_id=MD-SALAME_DI_FELINO,4314,4314,0,6187,YES,NO,,,NO,1833,NO_DCV5_PROFILE
1991,"GUANCIALE ROMANO",https://drycured.com/recepti-baza/guanciale-romano/,MD-GUANCIALE_ROMANO,_dry_recipe_id=MD-GUANCIALE_ROMANO,3632,3632,0,6120,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2018,"Irska salama (Spiced Irish Salami)",https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,MD-IRSKA_SALAMA_SPICED_IRISH_SALAMI,_dry_recipe_id=MD-IRSKA_SALAMA_SPICED_IRISH_SALAMI,4359,4359,0,5842,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2021,"Cumberland kobasica",https://drycured.com/recepti-baza/cumberland-kobasica/,MD-CUMBERLAND_KOBASICA,_dry_recipe_id=MD-CUMBERLAND_KOBASICA,4280,4280,0,6358,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2023,"?? Grčki tradicionalni recept - Loukaniko",https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,MD-GRCKI_TRADICIONALNI_RECEPT_LOUKANIKO,_dry_recipe_id=MD-GRCKI_TRADICIONALNI_RECEPT_LOUKANIKO,3437,3437,0,4194,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2026,"?? Španjolski recept za chorizo",https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,MD-SPANJOLSKI_RECEPT_ZA_CHORIZO,_dry_recipe_id=MD-SPANJOLSKI_RECEPT_ZA_CHORIZO,3790,3790,0,4175,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2028,"Češki Špekáček (Špek Kobasica)",https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,MD-CESKI_SPEKACEK_SPEK_KOBASICA,_dry_recipe_id=MD-CESKI_SPEKACEK_SPEK_KOBASICA,4378,4378,0,3285,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2029,"JAMBON DE BAYONNE",https://drycured.com/recepti-baza/jambon-de-bayonne/,MD-JAMBON_DE_BAYONNE,_dry_recipe_id=MD-JAMBON_DE_BAYONNE,3482,3482,0,6121,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2032,"Coppa (Kapula)",https://drycured.com/recepti-baza/coppa-kapula/,MD-COPPA_KAPULA,_dry_recipe_id=MD-COPPA_KAPULA,3683,3683,0,6182,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2033,"Andouille de Guémené",https://drycured.com/recepti-baza/andouille-de-guemene/,MD-ANDOUILLE_DE_GUEMENE,_dry_recipe_id=MD-ANDOUILLE_DE_GUEMENE,3761,3761,0,6098,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2037,"Hangikjöt (Dimljeni janjeti but)",https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,MD-HANGIKJOT_DIMLJENI_JANJETI_BUT,_dry_recipe_id=MD-HANGIKJOT_DIMLJENI_JANJETI_BUT,3564,3564,0,6140,YES,YES,"Hangikjöt (Dimljeni janjeti but)",MD-HANGIKJOT_DIMLJENI_JANJETI_BUT,YES,10291,OK_REAL_DCV5
