ID,post_title,post_name,post_status,post_type,permalink,modified_gmt,is_preview_clone,preview_source_post_id,recipe_id,has_full_markdown,has_sections,has_verified_process,has_image_url,full_markdown_len,sections_len,verified_process_len,image_url_len
1975,"Istarska kobasica",istarska-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1975,"2026-05-30 08:21:22",no,,HR-IST-KOB-VODIC-001,no,no,no,no,0,0,0,0
1976,"Primorska kobasica",primorska-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1976,"2026-05-30 08:21:22",no,,HR-PRI-KOB-PRIMORSKA-001,no,no,no,no,0,0,0,0
1977,"Creski udić — pršut od ovce",creski-udic-prsut-od-ovce,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1977,"2026-05-30 08:21:22",no,,HR-CRES-UDIC-001,no,no,no,no,0,0,0,0
1978,"Creska janjeća roštilj kobasica",creska-janjeca-rostilj-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1978,"2026-05-30 08:21:22",no,,HR-CRES-JANJECA-ROSTILJ-001,no,no,no,no,0,0,0,0
1979,"Testni recept iz kalkulatora",testni-recept-iz-kalkulatora,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1979,"2026-05-30 08:21:22",no,,DRY--24CBF503,no,no,no,no,0,0,0,0
1980,"Davorova kobasa",davorova-kobasa,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1980,"2026-05-30 08:21:22",no,,DRY--45E2E24F,no,no,no,no,0,0,0,0
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",tradicijskih-talijanskih-recepata-za-suhomesnate-proizvode,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1981,"2026-05-09 15:47:21",no,,IT-TRADICIJSKIH_TALIJANSKIH_RECEPATA_ZA_SUHOM-0001,no,no,no,no,0,0,0,0
1982,"FINOCCHIONA TOSCANA",finocchiona-toscana,publish,dry_recipe,https://drycured.com/recepti-baza/finocchiona-toscana/,"2026-06-04 07:53:31",no,,MD-FINOCCHIONA_TOSCANA,yes,no,no,no,4378,0,0,0
1983,"PROSCIUTTO DI SAN DANIELE",prosciutto-di-san-daniele,publish,dry_recipe,https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,"2026-06-04 07:53:31",no,,MD-PROSCIUTTO_DI_SAN_DANIELE,yes,no,no,no,3426,0,0,0
1984,"NDUJA CALABRESE",nduja-calabrese,publish,dry_recipe,https://drycured.com/recepti-baza/nduja-calabrese/,"2026-06-04 07:53:31",no,,MD-NDUJA_CALABRESE,yes,no,no,no,4217,0,0,0
1985,"SPECK ALTO ADIGE",speck-alto-adige,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1985,"2026-05-09 15:47:21",no,,IT-SPECK_ALTO_ADIGE-0005,no,no,no,no,0,0,0,0
1986,"LARDO DI COLONNATA",lardo-di-colonnata,publish,dry_recipe,https://drycured.com/recepti-baza/lardo-di-colonnata/,"2026-06-04 07:53:31",no,,MD-LARDO_DI_COLONNATA,yes,no,no,no,3965,0,0,0
1987,"MORTADELLA BOLOGNA",mortadella-bologna,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1987,"2026-06-04 07:34:57",no,,MD-MORTADELLA_BOLOGNA,yes,no,no,no,4284,0,0,0
1988,"SOPPRESSA VICENTINA",soppressa-vicentina,publish,dry_recipe,https://drycured.com/recepti-baza/soppressa-vicentina/,"2026-06-04 07:53:31",no,,MD-SOPPRESSA_VICENTINA,yes,no,no,no,3806,0,0,0
1989,"PORCHETTA ROMANA",porchetta-romana,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1989,"2026-06-04 07:34:57",no,,MD-PORCHETTA_ROMANA,yes,no,no,no,4053,0,0,0
1990,"SALAME DI FELINO",salame-di-felino,publish,dry_recipe,https://drycured.com/recepti-baza/salame-di-felino/,"2026-06-04 07:53:31",no,,MD-SALAME_DI_FELINO,yes,no,no,no,4314,0,0,0
1991,"GUANCIALE ROMANO",guanciale-romano,publish,dry_recipe,https://drycured.com/recepti-baza/guanciale-romano/,"2026-06-04 07:53:31",no,,MD-GUANCIALE_ROMANO,yes,no,no,no,3632,0,0,0
1992,"Engleska Cumberland Kobasica",engleska-cumberland-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1992,"2026-05-09 15:47:19",no,,UK-ENGLESKA_CUMBERLAND_KOBASICA-0012,no,no,no,no,0,0,0,0
1993,"Škotska Lorne Kobasica",skotska-lorne-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1993,"2026-05-09 15:47:19",no,,UK-SKOTSKA_LORNE_KOBASICA-0013,no,no,no,no,0,0,0,0
1994,"Islandska Hangikjöt Kobasica",islandska-hangikjot-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1994,"2026-05-09 15:47:19",no,,IS-ISLANDSKA_HANGIKJOT_KOBASICA-0015,no,no,no,no,0,0,0,0
