line,kind,text
142,meta_read,"$markdown = get_post_meta($post_id, '_dry_recipe_full_markdown', true);"
149,meta_read,"$code        = dc_canon_meta($post_id, '_dry_recipe_id');"
458,field_crijeva,"echo dc_canon_recipe_section($sections, 7, 'Crijeva / omotači');"
459,garlic,"echo dc_canon_recipe_section($sections, 8, 'Češnjak');"
462,field_granulation,"echo dc_canon_recipe_section($sections, 11, 'Mljevenje / rezanje');"
464,process_punjenje,"echo dc_canon_recipe_section($sections, 13, 'Punjenje i vezanje');"
487,field_crijeva,"<a href=""#dc-section-7"">Crijeva / omotači</a>"
488,garlic,"<a href=""#dc-section-8"">Češnjak</a>"
502,defaults,"function dc_canon_meta($post_id, $key, $fallback = '') {"
503,meta_read,"$value = get_post_meta($post_id, $key, true);"
504,defaults,return $value !== '' ? $value : $fallback;
507,defaults,"function dc_canon_first_term($post_id, $tax, $fallback = '') {"
512,defaults,return $fallback;
714,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
741,meta_read,"$image_url = get_post_meta($post_id, '_dry_recipe_image_url', true);"
1105,timeline,.dcv5-timeline {
1111,timeline,.dcv5-timeline-item {
1343,timeline,.dcv5-timeline-item {
1428,garlic,<h2><span>4</span>Tekućine i češnjak</h2>
1429,garlic,"<p class=""dcv5-section-note"">Tekućine se prikazuju prema izvornom receptu. Češnjak se prikazuje kao izravni dodatak, macerat ili procijeđena tekućina samo kada je takav postupak jasno naveden.</p>"
1467,timeline,"<div class=""dcv5-timeline"">"
1468,timeline,<?php foreach ($recipe['timeline'] as $step) : ?>
1469,timeline,"<article class=""dcv5-timeline-item"">"
1548,field_crijeva,"<div class=""dcv5-print-box""><span class=""dcv5-field-label"">Kalibar crijeva</span></div>"
1564,garlic,"<a href=""#tekucine"">Tekućine i češnjak</a>"
1621,timeline,"}, $recipe['timeline']),"
1651,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
1730,field_crijeva,"'lead' => 'Slavonski kulen je dugozreli slavonski proizvod snažnog paprikastog profila, izrađen od odabrane svinjske mišićine i tvrde slanine, punjen u širi prirodni omotač, hladno dimljen i sporo dozrijevan.',"
1735,field_crijeva,"['label' => 'Crijeva', 'value' => '55–80 mm'],"
1749,garlic,"['name' => 'Svježi češnjak za ekstrakciju', 'amount' => '50 g', 'percent' => '0,50 %', 'rate' => '5 g/kg', 'note' => 'Češnjak se zgnječi, kratko namače i procijedi. U nadjev se dodaje samo procijeđena tekućina.'],"
1750,garlic,"['name' => 'Prokuhana i ohlađena voda', 'amount' => '0,070 L', 'percent' => '0,70 %', 'rate' => '7 ml/kg', 'note' => 'Služi samo za ekstrakciju češnjaka i lakše raspoređivanje arome.'],"
1762,garlic,"['title' => 'Odležavanje nadjeva', 'text' => 'Nadjev se odmara u hladnom prostoru kako bi se sol, paprika i miris češnjaka povezali s mesom. Miris mora ostati čist i paprikast.'],"
1763,field_crijeva,"['title' => 'Predsušenje', 'text' => 'Širi omotač traži strpljivo prosušivanje prije dima. Površina mora biti suha na dodir, ali ne smije postati tvrda.'],"
1768,timeline,'timeline' => [
1770,field_granulation,"['day' => 'Dan 1', 'title' => 'Mljevenje i rezanje', 'text' => 'Meso mljeti kroz rešetku 8–10 mm, a tvrdu slaninu rezati ručno na kockice 8–12 mm.', 'critical' => 'Slanina se ne melje. Kockice daju prepoznatljiv presjek kulena.'],"
1771,garlic,"['day' => 'Dan 1', 'title' => 'Miješanje', 'text' => 'Meso, slaninu, sol, papriku, papar i procijeđenu češnjakovu tekućinu miješati dok masa ne postane ravnomjerna.', 'critical' => 'Masa se ne smije pregrijati niti pretvoriti u pastu.'],"
1773,process_punjenje,"['day' => 'Dan 5–6', 'title' => 'Punjenje', 'text' => 'Puniti u goveđa slijepa crijeva ili kate, čvrsto i bez zraka. Vidljive mjehuriće probosti čistom iglom.', 'critical' => 'Kod širokog omotača zračni džepovi su ozbiljan rizik kvarenja.'],"
1773,field_crijeva,"['day' => 'Dan 5–6', 'title' => 'Punjenje', 'text' => 'Puniti u goveđa slijepa crijeva ili kate, čvrsto i bez zraka. Vidljive mjehuriće probosti čistom iglom.', 'critical' => 'Kod širokog omotača zračni džepovi su ozbiljan rizik kvarenja.'],"
1775,field_crijeva,"['day' => 'Dan 8–14', 'title' => 'Predsušenje', 'text' => 'Omotač se mora priljubiti uz masu i izgubiti površinsku vlagu.', 'critical' => 'Prebrzo sušenje u ovoj fazi zatvara površinu i usporava izlazak vlage iz jezgre.'],"
1783,process_punjenje,"['problem' => 'Šupljine u presjeku', 'phase' => 'Punjenje', 'severity' => 'Rizik kvarenja', 'level' => 'danger', 'cause' => 'Zrak u nadjevu ili labavo punjenje.', 'solution' => 'Puniti čvrsto, probosti mjehuriće i vezati omotač bez praznih prostora.'],"
1783,field_crijeva,"['problem' => 'Šupljine u presjeku', 'phase' => 'Punjenje', 'severity' => 'Rizik kvarenja', 'level' => 'danger', 'cause' => 'Zrak u nadjevu ili labavo punjenje.', 'solution' => 'Puniti čvrsto, probosti mjehuriće i vezati omotač bez praznih prostora.'],"
1791,field_crijeva,"['title' => 'Omotač je stabilan', 'text' => 'Omotač je suh, priljubljen i bez sluzavih mjesta.'],"
1818,field_crijeva,"['label' => 'Omotač', 'value' => 'bez crijeva'],"
1828,garlic,"['name' => 'Suhi češnjak ili češnjakova aroma', 'amount' => '20–35 g', 'percent' => '', 'rate' => '2–3 g/kg', 'note' => 'Koristiti odmjereno. Kod cijelih komada češnjak ne smije stvarati mokre džepove na površini.'],"
1831,garlic,"['name' => 'Tekućina za češnjak', 'amount' => 'nije obvezna', 'percent' => '', 'rate' => '', 'note' => 'Kod ove suho soljene varijante tekućina se ne koristi kao dio nadjeva. Ako se koristi češnjakova aroma, površina mora ostati suha.'],"
1832,field_crijeva,"['name' => 'Crijeva / omotači', 'amount' => 'ne koriste se', 'percent' => '', 'rate' => '', 'note' => 'Šunka je cijeli komad i ne puni se u crijevo. Zaštitu čine koža, površinsko sušenje i pravilno zrenje.'],"
1850,timeline,'timeline' => [
1897,field_crijeva,"['label' => 'Crijeva', 'value' => '32–42 mm'],"
1912,garlic,"['name' => 'Svježi češnjak za ekstrakciju', 'amount' => '30 g', 'percent' => '0,30 %', 'rate' => '3 g/kg', 'note' => 'Češnjak se zgnječi, namače i procijedi. U nadjev se ne dodaju vlakna češnjaka.'],"
1913,garlic,"['name' => 'Prokuhana i ohlađena voda', 'amount' => '0,060 L', 'percent' => '0,60 %', 'rate' => '6 ml/kg', 'note' => 'Koristi se za ekstrakciju češnjaka. U nadjev ide samo procijeđena tekućina.'],"
1931,timeline,'timeline' => [
1933,field_granulation,"['day' => 'Dan 1', 'title' => 'Mljevenje', 'text' => 'Meso i masnije dijelove mljeti kroz rešetku 6–8 mm, bez ponavljanja mljevenja.', 'critical' => 'Ako se masa lijepi i maže, treba prekinuti rad i ohladiti sirovinu.'],"
1934,garlic,"['day' => 'Dan 1', 'title' => 'Miješanje', 'text' => 'Dodati sol, papriku, papar, kim i procijeđenu češnjakovu tekućinu. Miješati 8–12 minuta.', 'critical' => 'Začini moraju biti ravnomjerni, ali nadjev se ne smije pregrijati.'],"
1936,process_punjenje,"['day' => 'Dan 2', 'title' => 'Punjenje', 'text' => 'Puniti u svinjska crijeva 32–42 mm, čvrsto, ali bez pucanja.', 'critical' => 'Zračne džepove odmah probosti čistom iglom.'],"
1936,field_crijeva,"['day' => 'Dan 2', 'title' => 'Punjenje', 'text' => 'Puniti u svinjska crijeva 32–42 mm, čvrsto, ali bez pucanja.', 'critical' => 'Zračne džepove odmah probosti čistom iglom.'],"
1937,field_crijeva,"['day' => 'Dan 2–3', 'title' => 'Početna fermentacija / stabilizacija', 'text' => 'Nakon punjenja kobasice miruju u hladnom i prozračnom prostoru. Nadjev se stabilizira, sol i začini se dodatno povezuju s masom, a površina se priprema za predsušenje.', 'critical' => 'Fermentacija ne smije krenuti naglo. Ako se pojavi izražen kiseo miris, sluzavost ili napuhavanje crijeva, postupak treba zaustaviti i proizvod ne koristiti bez sigurne procjene.'],"
1945,field_granulation,"['problem' => 'Razmazana mast', 'phase' => 'Mljevenje', 'severity' => 'Oprez', 'level' => 'warning', 'cause' => 'Sirovina je bila pretopla ili je masnoća previše obrađivana.', 'solution' => 'Raditi s ohlađenom sirovinom, mljeti samo jednom i napraviti pauzu ako se masnoća počne mazati.'],"
1946,process_punjenje,"['problem' => 'Zračni džepovi', 'phase' => 'Punjenje', 'severity' => 'Rizik kvarenja', 'level' => 'danger', 'cause' => 'Labavo punjenje ili neprobušeni mjehurići zraka.', 'solution' => 'Puniti sporije, kontrolirati pritisak i svaki mjehurić odmah probosti čistom iglom.'],"
2455,timeline,body.single-dry_recipe .dcv5-timeline {
2459,timeline,body.single-dry_recipe .dcv5-timeline-item {
2467,timeline,body.single-dry_recipe .dcv5-timeline-item h3 {
2475,timeline,body.single-dry_recipe .dcv5-timeline-item p {
2923,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
3017,process_punjenje,"<p>Hladna sirovina, ravnomjerno miješanje, punjenje bez zraka, mirno predsušenje, blagi hladni dim i sporo sušenje bez tvrde kore.</p>"
3073,defaults,foreach ($related as $code => $fallback_title) {
3080,meta_read,"'key' => '_dry_recipe_id',"
3131,field_crijeva,"Ovaj recept može se spremiti za buduću usporedbu s drugim receptima. Usporedba će koristiti omjer mesa i masnoće, začinski profil, dimljenje, trajanje, kalibar crijeva i gubitak mase."
3194,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
3220,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
3259,timeline,"}, $recipe['timeline'] ?? []),"
3481,meta_read,"$dcv6_footer_code = get_post_meta($dcv6_footer_post_id, '_dry_recipe_id', true);"
3638,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
3678,defaults,"function dcv62_recipe_link_by_slug($slug, $fallback) {"
3685,defaults,"return home_url('/recepti-baza/' . trim($fallback, '/') . '/');"
3711,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
3791,timeline,body.single-dry_recipe #kronologija .dcv5-timeline-item {
4003,defaults,* Description: Premješta prethodni/sljedeći recept ispod glavnog recipe layouta i skriva defaultnu WP/Astra navigaciju.
4032,defaults,* Sakrij defaultnu WP/Astra single post navigaciju.
4081,defaults,* Sigurnosno ukloni defaultne navigacije koje tema može renderirati kasnije.
4395,field_granulation,'Mljevenje i rezanje': {
4398,field_granulation,"'Rešetka / rez': 'meso 8–10 mm; slanina 8–12 mm ručno',"
4405,garlic,"'Cilj': 'ravnomjerna paprika, sol i češnjakova aroma'"
4413,process_punjenje,'Punjenje': {
4415,fallback_hladna_masa,"'Temperatura': 'hladna masa',"
4416,field_crijeva,"'Omotač': 'širi prirodni omotač 55–80 mm',"
4417,process_punjenje,'Cilj': 'čvrsto punjenje bez zračnih džepova'
4464,field_granulation,'Mljevenje': {
4467,field_granulation,"'Rešetka': '6–8 mm',"
4472,fallback_hladna_masa,"'Temperatura': 'hladna masa',"
4474,garlic,"'Cilj': 'ravnomjerna sol, paprika i češnjakova tekućina'"
4482,process_punjenje,'Punjenje': {
4484,fallback_hladna_masa,"'Temperatura': 'hladna masa',"
4485,field_crijeva,"'Crijeva': 'svinjska 32–42 mm',"
