Br.,Naziv recepta/proizvoda,Status za bazu,Razlog odluke,Skupina,Broj izvora,Oznake izvora,Izvorne datoteke,best_server_candidate,best_server_post_id,best_server_slug,best_score,comparison_note
25,Domaća baranjska šunka,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf,Baranjska šunka,2994,hr-sl-028-baranjska-sunka,0.811,SOURCE_HR_STRICT_NOT_ON_SERVER
44,Domaće kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,3,"IZV-18, IZV-13, IZV-06",116155486-Domaće-kobasice-i-sl(1).doc; 183991735-Domaca-prerada-i-susenje-mesa-doc.doc; 230566877-domace-kobasice.docx,Đakovačke Kobasice,2254,hr-rec-020,0.848,SOURCE_HR_STRICT_NOT_ON_SERVER
67,Gurmanska pašteta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf,Gurmanske Kobasice,2272,hr-rec-038,0.686,SOURCE_HR_STRICT_NOT_ON_SERVER
82,Jetrena pašteta sa sardelama,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf,Slavonska domaća salama,3000,hr-sl-034-slavonska-domaca-salama,0.471,SOURCE_HR_STRICT_NOT_ON_SERVER
83,Jetrenjača,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf,Domaće Jetrenjače,2295,hr-rec-061,0.667,SOURCE_HR_STRICT_NOT_ON_SERVER
111,Kulen Baranjac,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf,Kulenova seka,2973,hr-sl-002-kulenova-seka,0.519,SOURCE_HR_STRICT_NOT_ON_SERVER
121,Lovačka pašteta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf,Vinkovačka kobasica,3002,hr-sl-037-vinkovacka-kobasica,0.588,SOURCE_HR_STRICT_NOT_ON_SERVER
163,Pečenica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-13,183991735-Domaca-prerada-i-susenje-mesa-doc.doc,Suhi kare / pečenica,2230,hr-cjp-kar-001,0.615,SOURCE_HR_STRICT_NOT_ON_SERVER
179,Primorska šunka,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf,Međimurska šunka,3015,hr-sl-084,0.774,SOURCE_HR_STRICT_NOT_ON_SERVER
185,Pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-13,183991735-Domaca-prerada-i-susenje-mesa-doc.doc,Domaći pršut,2224,hr-cjp-prs-001,0.556,SOURCE_HR_STRICT_NOT_ON_SERVER
