post_id,title,slug,status,url,recipe_id,hr_score,type_guess,priority,needs_work_score,has_sections,has_verified_process,has_full_markdown,has_image,source_status,country_hits,region_hits,product_hits,dossier_hints
2075,"Vrgorački kulen iz zaboravljenih recepata",vrgoracki-kulen-iz-zaboravljenih-recepata,publish,https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA,19,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,"vrgorac; vrgorački","kulen; vrgorački kulen",
2631,"Rovinjska Kobasica",rovinjska-kobasica,publish,https://drycured.com/recepti-baza/rovinjska-kobasica/,MD-ROVINJSKA_KOBASICA,18,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,"istra; rovinj; rovinjska","rovinjska kobasica",
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",vinkovacki-slavonski-kulen-stara-obiteljska-receptura,publish,https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,16,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,slavonski,"slavonski kulen; kulen",
3121,"Istarski Morski Pršut ""Neptunov Dar""",istarski-morski-prsut-neptunov-dar,publish,https://drycured.com/recepti-baza/istarski-morski-prsut-neptunov-dar/,MD-ISTARSKI_MORSKI_PRSUT_NEPTUNOV_DAR,14,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,"istra; istarski; lika",,
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",balmos-cu-slanina-palenta-sa-slaninom,publish,https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM,12,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,slanina,
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",pancetta-arrotolata-rolana-panceta,publish,https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,12,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,panceta,
2076,"Senjska Morska Panceta ""Bura Intenzitet""",senjska-morska-panceta-bura-intenzitet,publish,https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,12,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,panceta,
2092,"Crikvenička Panceta",crikvenicka-panceta,publish,https://drycured.com/recepti-baza/crikvenicka-panceta/,MD-CRIKVENICKA_PANCETA,12,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,panceta,
2464,"StarohrvatskiMore-Kopno Salamet (Salama Maritima)",starohrvatskimore-kopno-salamet-salama-maritima,publish,https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,MD-STAROHRVATSKIMORE_KOPNO_SALAMET_SALAMA_MARITIMA,12,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatski,istra,kulen,
2697,"Baranjska Ljuta Slavonska Kobasica",baranjska-ljuta-slavonska-kobasica,publish,https://drycured.com/recepti-baza/baranjska-ljuta-slavonska-kobasica/,MD-BARANJSKA_LJUTA_SLAVONSKA_KOBASICA,12,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,slavonska,"slavonska kobasica",
2698,"Slavonska Domaća Suhomesnata Salama",slavonska-domaca-suhomesnata-salama,publish,https://drycured.com/recepti-baza/slavonska-domaca-suhomesnata-salama/,MD-SLAVONSKA_DOMACA_SUHOMESNATA_SALAMA,12,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,slavonska,kulen,
2717,"Savinjski želodec (Savinjski želudac)",savinjski-zelodec-savinjski-zeludac,publish,https://drycured.com/recepti-baza/savinjski-zelodec-savinjski-zeludac/,MD-SAVINJSKI_ZELODEC_SAVINJSKI_ZELUDAC,12,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,slanina,
3223,"Etnografska studija kulinarskog naslijeđa",etnografska-studija-kulinarskog-naslijea,publish,https://drycured.com/recepti-baza/etnografska-studija-kulinarskog-naslijea/,MD-ETNOGRAFSKA_STUDIJA_KULINARSKOG_NASLIJEDA,12,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,slavonija,kulen,
3236,"Pečena salamurena slanina s toplim dimom",pe-ena-salamurena-slanina-s-toplim-dimom,publish,https://drycured.com/recepti-baza/pe-ena-salamurena-slanina-s-toplim-dimom/,NEW-PECENA-SALAMURENA-SLANINA,12,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,slanina,
2110,"Crnogorska Slanina (Durmitorska panćeta)",crnogorska-slanina-durmitorska-panceta,publish,https://drycured.com/recepti-baza/crnogorska-slanina-durmitorska-panceta/,MD-CRNOGORSKA_SLANINA_DURMITORSKA_PANCETA,11,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,"panceta; slanina",
