post_id,title,url,code,source_len,valid_dcv5_profile,public_fallback_marker,public_dcv5_marker,internal_text_visible,result
1982,"FINOCCHIONA TOSCANA",https://drycured.com/recepti-baza/finocchiona-toscana/,MD-FINOCCHIONA_TOSCANA,4378,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
1983,"PROSCIUTTO DI SAN DANIELE",https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,MD-PROSCIUTTO_DI_SAN_DANIELE,3426,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
1984,"NDUJA CALABRESE",https://drycured.com/recepti-baza/nduja-calabrese/,MD-NDUJA_CALABRESE,4217,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
1986,"LARDO DI COLONNATA",https://drycured.com/recepti-baza/lardo-di-colonnata/,MD-LARDO_DI_COLONNATA,3965,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
1988,"SOPPRESSA VICENTINA",https://drycured.com/recepti-baza/soppressa-vicentina/,MD-SOPPRESSA_VICENTINA,3806,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
1990,"SALAME DI FELINO",https://drycured.com/recepti-baza/salame-di-felino/,MD-SALAME_DI_FELINO,4314,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
1991,"GUANCIALE ROMANO",https://drycured.com/recepti-baza/guanciale-romano/,MD-GUANCIALE_ROMANO,3632,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2018,"Irska salama (Spiced Irish Salami)",https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,MD-IRSKA_SALAMA_SPICED_IRISH_SALAMI,4359,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2021,"Cumberland kobasica",https://drycured.com/recepti-baza/cumberland-kobasica/,MD-CUMBERLAND_KOBASICA,4280,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2023,"?? Grčki tradicionalni recept - Loukaniko",https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,MD-GRCKI_TRADICIONALNI_RECEPT_LOUKANIKO,3437,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2026,"?? Španjolski recept za chorizo",https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,MD-SPANJOLSKI_RECEPT_ZA_CHORIZO,3790,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2028,"Češki Špekáček (Špek Kobasica)",https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,MD-CESKI_SPEKACEK_SPEK_KOBASICA,4378,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2029,"JAMBON DE BAYONNE",https://drycured.com/recepti-baza/jambon-de-bayonne/,MD-JAMBON_DE_BAYONNE,3482,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2032,"Coppa (Kapula)",https://drycured.com/recepti-baza/coppa-kapula/,MD-COPPA_KAPULA,3683,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2033,"Andouille de Guémené",https://drycured.com/recepti-baza/andouille-de-guemene/,MD-ANDOUILLE_DE_GUEMENE,3761,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2037,"Hangikjöt (Dimljeni janjeti but)",https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,MD-HANGIKJOT_DIMLJENI_JANJETI_BUT,3564,YES,NO,YES,NO,OK_DCV5_NOT_TOUCHED
2039,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,MD-UKRAJINSKA_DOMASHNIA_KOVBASA_DOMACA_KOBASICA,4281,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM,3503,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,4741,NO,YES,NO,NO,OK_PUBLIC_FALLBACK_RENDERED
