ID	post_title	post_name	post_date
2144	Sigurnost hrane kod suhomesnatih proizvoda bez panike	sigurnost-hrane-kod-suhomesnatih-proizvoda-bez-panike	2024-01-01 08:00:00
2143	Zašto svi recepti na drycured.com kreću od 10 kg mesa	zasto-svi-recepti-na-drycured-com-krecu-od-10-kg-mesa	2024-01-02 08:00:00
2142	Dnevnik šarže: najjeftiniji alat za učenje	dnevnik-sarze-najjeftiniji-alat-za-ucenje	2024-01-03 08:00:00
2141	Najčešće greške kod kobasica i kako ih ispraviti	najcesce-greske-kod-kobasica-i-kako-ih-ispraviti	2024-01-04 08:00:00
2140	Punjenje kobasica bez zračnih džepova	punjenje-kobasica-bez-zracnih-dzepova	2024-01-05 08:00:00
2139	Temperatura, vlaga i zrak: tri stupa zrenja	temperatura-vlaga-i-zrak-tri-stupa-zrenja	2024-01-06 08:00:00
2135	Koje drvo koristiti za dimljenje suhomesnatih proizvoda	koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda	2024-01-07 08:00:00
2138	Plemenita plijesan: bijeli štit ili upozorenje?	plemenita-plijesan-bijeli-stit-ili-upozorenje	2024-01-08 08:00:00
2137	Kako pratiti gubitak mase tijekom sušenja	kako-pratiti-gubitak-mase-tijekom-susenja	2024-01-09 08:00:00
2136	Zašto se kobasica ne smije sušiti prebrzo	zasto-se-kobasica-ne-smije-susiti-prebrzo	2024-01-10 08:00:00
2134	Hladno, toplo i vruće dimljenje: što nije isto	hladno-toplo-i-vruce-dimljenje-sto-nije-isto	2024-01-11 08:00:00
2133	Case-hardening: tvrda kora i mekana sredina	case-hardening-tvrda-kora-i-mekana-sredina	2024-01-12 08:00:00
2132	Fermentacija kobasica u kućnim uvjetima	fermentacija-kobasica-u-kucnim-uvjetima	2024-01-13 08:00:00
2131	Tekućina od češnjaka: čista aroma bez zelenih mrlja u presjeku	tekucina-od-cesnjaka-cista-aroma-bez-zelenih-mrlja-u-presjeku	2024-01-14 08:00:00
2130	Priprema i namakanje crijeva prije punjenja	priprema-i-namakanje-crijeva-prije-punjenja	2024-01-15 08:00:00
2129	Kako sol putuje kroz meso	kako-sol-putuje-kroz-meso	2024-01-16 08:00:00
2128	Redoslijed izrade suhomesnatih proizvoda bez preskakanja faza	redoslijed-izrade-suhomesnatih-proizvoda-bez-preskakanja-faza	2024-01-17 08:00:00
2127	Suho, mokro i kombinirano soljenje: kada koristiti koju metodu	suho-mokro-i-kombinirano-soljenje-kada-koristiti-koju-metodu	2024-01-18 08:00:00
2125	Kako prepoznati dobro meso za suhomesnate proizvode	kako-prepoznati-dobro-meso-za-suhomesnate-proizvode	2024-01-19 08:00:00
2126	Sol: najstariji čuvar mesa	sol-najstariji-cuvar-mesa	2024-01-20 08:00:00
2829	Zašto suhomesnati proizvod nije samo recept	zasto-suhomesnati-proizvod-nije-samo-recept	2024-01-21 08:00:00
2830	Povijest sušenja mesa: kako su sol, dim i vrijeme čuvali hranu	povijest-susenja-mesa-sol-dim-vrijeme	2024-01-22 08:00:00
2831	Pasmina, prehrana i mast: zašto sirovina odlučuje o okusu	pasmina-prehrana-i-mast-zasto-sirovina-odlucuje-o-okusu	2024-01-23 08:00:00
2832	Mast u suhomesnatim proizvodima: neprijatelj ili nositelj okusa	mast-u-suhomesnatim-proizvodima-nositelj-okusa	2024-01-24 08:00:00
2833	PSE i DFD meso: kako loša sirovina pokvari dobar postupak	pse-i-dfd-meso-kako-losa-sirovina-pokvari-dobar-postupak	2024-01-25 08:00:00
97	Kako napraviti domaće kobasice: Vodič za početnike	kako-napraviti-domace-kobasice-vodic-za-pocetnike	2025-02-16 17:01:02
99	Vodič za domaću izradu kobasica i suhomesnatih proizvoda	vodic-za-domacu-izradu-kobasica-i-suhomesnatih-proizvoda	2025-02-16 17:01:02
429	Prednosti domaće uzgojenog mesa kod izrade suhomesnatih proizvoda	prednosti-domace-uzgojenog-mesa-kod-izrade-suhomesnatih-proizvoda	2025-02-22 20:26:09
464	Types of Pigs	vrste-svinja	2025-02-23 17:41:29
1438	Proljeće na tanjuru: kako sušeno meso oživljava sezonske recepte	proljece-na-tanjuru-kako-suseno-meso-ozivljava-sezonske-recepte	2026-03-23 17:45:18
1440	Što su suhomesnati proizvodi	sto-su-suhomesnati-proizvodi	2026-03-23 17:45:33
1441	Uvod u svijet suhomesnatih proizvoda	uvod-u-svijet-suhomesnatih-proizvoda	2026-03-23 17:46:40
1439	Osnovna podjela suhomesnatih proizvoda	osnovna-podjela-suhomesnatih-proizvoda	2026-03-23 17:47:03
1460	Tekst koji si podijelio nema naslov posta — to je odgovor AI asistenta, a ne post sa naslovom.	tekst-koji-si-podijelio-nema-naslov-posta-to-je-odgovor-ai-asistenta-a-ne-post-sa-naslovom	2026-03-28 06:21:51
1461	Ovaj tekst ne sadrži naslov posta. Radi se o poruci AI asistenta, a ne o blogu ili objavi s naslovom.	ovaj-tekst-ne-sadrzi-naslov-posta-radi-se-o-poruci-ai-asistenta-a-ne-o-blogu-ili-objavi-s-naslovom	2026-03-28 06:29:52
1462	Proljetna ponuda suhomesnatih proizvoda	proljetna-ponuda-suhomesnatih-proizvoda	2026-03-28 06:45:44
1464	Prednosti domaće slanine	prednosti-domace-slanine	2026-03-28 07:23:33
1465	Tajna tradicionalne recepture kulena	tajna-tradicionalne-recepture-kulena	2026-03-28 07:37:15
1466	Tajna domaćeg slavonskog kulena	tajna-domaceg-slavonskog-kulena	2026-03-28 08:21:01
1469	Domaći Kulen iz Slavonije	domaci-kulen-iz-slavonije	2026-03-28 09:01:41
1470	Slavonski Domaći Kulen – Ponos Hrvatske Tradicije	slavonski-domaci-kulen-ponos-hrvatske-tradicije	2026-03-28 09:07:04
1472	Domaći čvarci iz Slavonije	domaci-cvarci-iz-slavonije	2026-03-28 09:08:25
1476	Domaća panceta – recept i priprema	domaca-panceta-recept-i-priprema	2026-03-28 09:14:29
1478	Tajna savršene domaće pancete	tajna-savrsene-domace-pancete	2026-03-28 09:19:38
1480	Domaća kobasica: Tradicija na vašem stolu	domaca-kobasica-tradicija-na-vasem-stolu	2026-03-28 11:26:27
1483	Infografika dana	infografika-dana	2026-03-28 11:32:24
1486	Drycured podcast — najnovija epizoda	drycured-podcast-najnovija-epizoda	2026-03-28 11:40:59
