num,slug,title,path,title_tag,title_len,meta_desc,meta_desc_len,canonical,h1_count,h1_sample,h2_count,h2_sample,jsonld_count,faq_mentions,word_count
01,sirovina,Sirovina,/proces-izrade/sirovina/,Sirovina - drycured.com,23,"Faza 01 — proces izrade SirovinaSirovina je temelj cijelog procesa. Sve što se poslije dogodi — soljenje, dimljenje, sušenje i zrenje — može samo razviti ono što je u mesu već prisutno.Zašto je ova faza važna?Kod suhomesnatih proizvoda kvaliteta mesa nije samo pitanje okusa, nego i sigurnosti. Meso mora imati uredan miris, stabilnu boju, čvrstu",346,https://drycured.com/proces-izrade/sirovina/,2,Sirovina | Sirovina,14,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14890
02,rezanje,Rezanje,/proces-izrade/rezanje/,Rezanje - drycured.com,22,"Faza 03 — proces izrade RezanjeRezanje priprema meso za daljnju obradu. Dobar rez čuva strukturu, smanjuje zagrijavanje i omogućuje ravnomjerniji presjek gotovog proizvoda.Zašto je ova faza važna?Kod suhomesnatih proizvoda rezanje nije samo mehanički korak. Smjer reza, veličina komada i uklanjanje tvrdog veziva utječu na teksturu, vezanje mase i izgled presjeka.Pregrubo rezanje otežava ravnomjernu obradu, dok",412,https://drycured.com/proces-izrade/rezanje/,2,Rezanje | Rezanje,14,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14814
03,soljenje,Soljenje,/proces-izrade/soljenje/,Soljenje - drycured.com,23,"Faza 02 — proces izrade SoljenjeSoljenje je prva ključna zaštitna faza. Sol oblikuje okus, smanjuje dostupnu vodu i pokreće tehnološke promjene koje proizvod čine stabilnijim.Zašto je ova faza važna?Sol u mesu djeluje na više razina. Ona ne služi samo da proizvod bude slan, nego utječe na sposobnost vezanja vode, stabilnost proteina, razvoj teksture i usporavanje",365,https://drycured.com/proces-izrade/soljenje/,2,Soljenje | Soljenje,15,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14849
04,mljevenje,Mljevenje,/proces-izrade/mljevenje/,Mljevenje - drycured.com,24,"Faza 04 — proces izrade MljevenjeMljevenje određuje granulaciju, vezanje mase i konačni zagriz. Ova faza mora biti hladna, brza i kontrolirana.Zašto je ova faza važna?Granulacija mesa utječe na izgled presjeka i teksturu proizvoda. Fina masa daje drugačiji zagriz od grube, a pogrešan odabir rešetke može promijeniti karakter proizvoda.Najveći neprijatelj mljevenja je toplina. Kada se meso",390,https://drycured.com/proces-izrade/mljevenje/,2,Mljevenje | Mljevenje,14,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,15344
05,mijesanje,Miješanje,/proces-izrade/mijesanje/,Miješanje - drycured.com,24,"Faza 05 — proces izrade MiješanjeMiješanje povezuje meso, mast, sol i začine. U ovoj fazi se stvara nadjev koji se može pravilno puniti i stabilno sušiti.Zašto je ova faza važna?Sol tijekom miješanja pomaže izdvajanju proteina koji povezuju čestice mesa i masti. Zbog toga masa postupno postaje ljepljivija i kompaktnija.Premalo miješanja daje rastresitu strukturu, dok predugo",377,https://drycured.com/proces-izrade/mijesanje/,2,Miješanje | Miješanje,14,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14847
06,odlezavanje-smjese,Odležavanje smjese,/proces-izrade/odlezavanje-smjese/,Odležavanje smjese - drycured.com,33,"Faza 06 — proces izrade Odležavanje smjeseOdležavanje smjese je kratko kontrolirano mirovanje prije punjenja. Ono pomaže boljem povezivanju soli, začina, proteina i vlage.Zašto je ova faza važna?Nakon miješanja masa nije uvijek odmah potpuno ujednačena. Kratko hladno mirovanje omogućuje da se sol i začini ravnomjernije rasporede, a proteini nastave vezati vodu i mast.Ova faza ne znači",387,https://drycured.com/proces-izrade/odlezavanje-smjese/,2,Odležavanje smjese | Odležavanje,14,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14887
07,punjenje,Punjenje,/proces-izrade/punjenje/,Punjenje - drycured.com,23,"Faza 07 — proces izrade PunjenjePunjenje oblikuje proizvod. Ravnomjeran pritisak, pravilno pripremljena crijeva i hladna masa daju uredan kalibar i stabilan presjek.Zašto je ova faza važna?U ovoj fazi masa prelazi iz posude u oblik proizvoda. Ako se punjenje izvede loše, kasnije se javljaju zračni džepovi, pukotine, neujednačen kalibar ili loš presjek.Punjenje mora biti mirno i",380,https://drycured.com/proces-izrade/punjenje/,2,Punjenje | Punjenje,15,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,15040
08,fermentacija,Fermentacija,/proces-izrade/fermentacija/,Fermentacija - drycured.com,27,"Faza 08 — proces izrade FermentacijaFermentacija razvija kiselost, aromu i stabilnost fermentiranih kobasica. To je faza u kojoj mikroklima i mikroflora počinju oblikovati proizvod.Zašto je ova faza važna?Tijekom fermentacije korisne bakterije stvaraju kiseline koje pomažu stabilizaciji proizvoda. Pad pH vrijednosti utječe na sigurnost, boju, teksturu i okus.Fermentacija nije ista za sve proizvode. Temperatura, vlaga, vrijeme",429,https://drycured.com/proces-izrade/fermentacija/,2,Fermentacija | Fermentacija,16,Što treba razumjeti prije nastavka? | Uvjeti fermentacije | Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke,1,0,17027
09,dimljenje,Dimljenje,/proces-izrade/dimljenje/,Dimljenje - drycured.com,24,"Faza 09 — proces izrade DimljenjeDimljenje daje boju, miris i dodatnu površinsku zaštitu. Dobar dim mora biti čist, blag i usklađen s proizvodom.Zašto je ova faza važna?Dim nije samo aroma. On donosi spojeve koji utječu na miris, boju i površinsku stabilnost proizvoda. Međutim, previše dima lako pokvari rezultat.Cilj dimljenja nije sakriti lošu sirovinu ili ubrzati",367,https://drycured.com/proces-izrade/dimljenje/,2,Dimljenje | Dimljenje,14,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14784
10,susenje,Sušenje,/proces-izrade/susenje/,Sušenje - drycured.com,22,"Faza 10 — proces izrade SušenjeSušenje postupno uklanja vodu iz proizvoda. Pravilno sušenje gradi stabilnost bez stvaranja tvrde kore i vlažne jezgre.Zašto je ova faza važna?Voda mora izlaziti postupno. Ako površina izgubi vlagu prebrzo, zatvara se i nastaje tvrda vanjska zona koja usporava izlazak vlage iz sredine.Sušenje traži ravnotežu temperature, relativne vlage i strujanja zraka.",388,https://drycured.com/proces-izrade/susenje/,2,Sušenje | Sušenje,14,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14767
11,zrenje,Zrenje,/proces-izrade/zrenje/,Zrenje - drycured.com,21,"Faza 11 — proces izrade ZrenjeZrenje razvija dubinu okusa, mirisa i teksture. To je faza u kojoj vrijeme postaje sastojak.Zašto je ova faza važna?Tijekom zrenja nastavljaju se enzimske i mikrobiološke promjene. Okus postaje slojevitiji, tekstura se smiruje, a proizvod dobiva svoj završni karakter.Zrenje se ne može potpuno ubrzati bez gubitka kvalitete. Može se kontrolirati, ali",380,https://drycured.com/proces-izrade/zrenje/,2,Zrenje | Zrenje,13,Zašto je ova faza važna? | Praktična izvedba | Kontrolne točke | Najčešće pogreške | Rješenja u praksi,1,0,14678
