post_id,title,slug,status,url,recipe_id,strict_hr_score,type_guess,priority,needs_work_score,has_sections,has_verified_process,has_full_markdown,has_image,source_status,region_hits,product_hits
2697,"Baranjska Ljuta Slavonska Kobasica",baranjska-ljuta-slavonska-kobasica,publish,https://drycured.com/recepti-baza/baranjska-ljuta-slavonska-kobasica/,MD-BARANJSKA_LJUTA_SLAVONSKA_KOBASICA,34,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,"slavonsk; baranjsk; baranjska","slavonska kobasica"
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",vinkovacki-slavonski-kulen-stara-obiteljska-receptura,publish,https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,26,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,"slavonsk; vinkovačk","slavonski kulen"
2075,"Vrgorački kulen iz zaboravljenih recepata",vrgoracki-kulen-iz-zaboravljenih-recepata,publish,https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA,18,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,vrgoračk,"vrgorački kulen"
2631,"Rovinjska Kobasica",rovinjska-kobasica,publish,https://drycured.com/recepti-baza/rovinjska-kobasica/,MD-ROVINJSKA_KOBASICA,18,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,rovinjsk,"rovinjska kobasica"
2699,"Baranjska Fermenetirana Kobasica",baranjska-fermenetirana-kobasica,publish,https://drycured.com/recepti-baza/baranjska-fermenetirana-kobasica/,MD-BARANJSKA_FERMENETIRANA_KOBASICA,16,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,"baranjsk; baranjska",
3233,"Češnjovke 1.2021 – domaća varijanta",e-njovke-1-2021-doma-a-varijanta,publish,https://drycured.com/recepti-baza/e-njovke-1-2021-doma-a-varijanta/,NEW-CESNJOVKE-2021,10,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,češnjovke
2100,"Miholjačka Začinska Salama",miholjacka-zacinska-salama,publish,https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,MD-MIHOLJACKA_ZACINSKA_SALAMA,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,miholjačk,
2445,"Hvarski stolen (zaboravljena delicija)",hvarski-stolen-zaboravljena-delicija,publish,https://drycured.com/recepti-baza/hvarski-stolen-zaboravljena-delicija/,MD-HVARSKI_STOLEN_ZABORAVLJENA_DELICIJA,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hvarsk,
2465,"Krčki Ovčji Dimljeni Raritet",krcki-ovcji-dimljeni-raritet,publish,https://drycured.com/recepti-baza/krcki-ovcji-dimljeni-raritet/,MD-KRCKI_OVCJI_DIMLJENI_RARITET,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,krčk,
2603,"Vinkovački Aromatični Začinski Špek",vinkovacki-aromaticni-zacinski-spek,publish,https://drycured.com/recepti-baza/vinkovacki-aromaticni-zacinski-spek/,MD-VINKOVACKI_AROMATICNI_ZACINSKI_SPEK,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,vinkovačk,
2632,"Krčki Sir-Kobasica",krcki-sir-kobasica,publish,https://drycured.com/recepti-baza/krcki-sir-kobasica/,MD-KRCKI_SIR_KOBASICA,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,krčk,
2698,"Slavonska Domaća Suhomesnata Salama",slavonska-domaca-suhomesnata-salama,publish,https://drycured.com/recepti-baza/slavonska-domaca-suhomesnata-salama/,MD-SLAVONSKA_DOMACA_SUHOMESNATA_SALAMA,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,slavonsk,
2702,"Baranjski Začinski Špek s Pustara Začinima",baranjski-zacinski-spek-s-pustara-zacinima,publish,https://drycured.com/recepti-baza/baranjski-zacinski-spek-s-pustara-zacinima/,MD-BARANJSKI_ZACINSKI_SPEK_S_PUSTARA_ZACINIMA,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,baranjsk,
2704,"Osječko-Baranjski Ljuti Špek s Divljim Travama",osjecko-baranjski-ljuti-spek-s-divljim-travama,publish,https://drycured.com/recepti-baza/osjecko-baranjski-ljuti-spek-s-divljim-travama/,MD-OSJECKO_BARANJSKI_LJUTI_SPEK_S_DIVLJIM_TRAVAMA,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,baranjsk,
2779,"Slavonski cviček (suhomesnati narez)",slavonski-cvicek-suhomesnati-narez,publish,https://drycured.com/recepti-baza/slavonski-cvicek-suhomesnati-narez/,MD-SLAVONSKI_CVICEK_SUHOMESNATI_NAREZ,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,slavonsk,
3156,"Lički Planinarski Navršak",licki-planinarski-navrsak,publish,https://drycured.com/recepti-baza/licki-planinarski-navrsak/,MD-LICKI_PLANINARSKI_NAVRSAK,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,ličk,
3200,"Podravski ""Zaboravljeni Vrbovec""",podravski-zaboravljeni-vrbovec,publish,https://drycured.com/recepti-baza/podravski-zaboravljeni-vrbovec/,MD-PODRAVSKI_ZABORAVLJENI_VRBOVEC,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,podravsk,
3044,"Jésus de Lyon – velika lionska suha kobasica",jesus-de-lyon-2,publish,https://drycured.com/recepti-baza/jesus-de-lyon-2/,MD-JESUS_DE_LYON,8,GROUND_MEAT_OR_CASING,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,lika,
2076,"Senjska Morska Panceta ""Bura Intenzitet""",senjska-morska-panceta-bura-intenzitet,publish,https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,8,WHOLE_CUT,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,senjsk,
2092,"Crikvenička Panceta",crikvenicka-panceta,publish,https://drycured.com/recepti-baza/crikvenicka-panceta/,MD-CRIKVENICKA_PANCETA,8,WHOLE_CUT,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,crikveničk,
2633,"Senjska Šunka",senjska-sunka,publish,https://drycured.com/recepti-baza/senjska-sunka/,MD-SENJSKA_SUNKA,8,WHOLE_CUT,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,senjsk,
2780,"Slavonski pikantni vrat",slavonski-pikantni-vrat,publish,https://drycured.com/recepti-baza/slavonski-pikantni-vrat/,MD-SLAVONSKI_PIKANTNI_VRAT,8,WHOLE_CUT,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,slavonsk,
