post_id,title,slug,status,url,country_meta,region_meta,code_meta
1975,"Istarska kobasica",istarska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1975,,,HR-IST-KOB-VODIC-001
1976,"Primorska kobasica",primorska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1976,,,HR-PRI-KOB-PRIMORSKA-001
1977,"Creski udić — pršut od ovce",creski-udic-prsut-od-ovce,draft,https://drycured.com/?post_type=dry_recipe&p=1977,,,HR-CRES-UDIC-001
1978,"Creska janjeća roštilj kobasica",creska-janjeca-rostilj-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1978,,,HR-CRES-JANJECA-ROSTILJ-001
1979,"Testni recept iz kalkulatora",testni-recept-iz-kalkulatora,draft,https://drycured.com/?post_type=dry_recipe&p=1979,,,DRY--24CBF503
1980,"Davorova kobasa",davorova-kobasa,draft,https://drycured.com/?post_type=dry_recipe&p=1980,,,DRY--45E2E24F
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",tradicijskih-talijanskih-recepata-za-suhomesnate-proizvode,draft,https://drycured.com/?post_type=dry_recipe&p=1981,,,IT-TRADICIJSKIH_TALIJANSKIH_RECEPATA_ZA_SUHOM-0001
1982,"FINOCCHIONA TOSCANA",finocchiona-toscana,publish,https://drycured.com/recepti-baza/finocchiona-toscana/,,,MD-FINOCCHIONA_TOSCANA
1983,"PROSCIUTTO DI SAN DANIELE",prosciutto-di-san-daniele,publish,https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,,,MD-PROSCIUTTO_DI_SAN_DANIELE
1984,"NDUJA CALABRESE",nduja-calabrese,publish,https://drycured.com/recepti-baza/nduja-calabrese/,,,MD-NDUJA_CALABRESE
1985,"SPECK ALTO ADIGE",speck-alto-adige,draft,https://drycured.com/?post_type=dry_recipe&p=1985,,,IT-SPECK_ALTO_ADIGE-0005
1986,"LARDO DI COLONNATA",lardo-di-colonnata,publish,https://drycured.com/recepti-baza/lardo-di-colonnata/,,,MD-LARDO_DI_COLONNATA
1987,"MORTADELLA BOLOGNA",mortadella-bologna,private,https://drycured.com/?post_type=dry_recipe&p=1987,,,MD-MORTADELLA_BOLOGNA
1988,"SOPPRESSA VICENTINA",soppressa-vicentina,publish,https://drycured.com/recepti-baza/soppressa-vicentina/,,,MD-SOPPRESSA_VICENTINA
1989,"PORCHETTA ROMANA",porchetta-romana,private,https://drycured.com/?post_type=dry_recipe&p=1989,,,MD-PORCHETTA_ROMANA
1990,"SALAME DI FELINO",salame-di-felino,publish,https://drycured.com/recepti-baza/salame-di-felino/,,,MD-SALAME_DI_FELINO
1991,"GUANCIALE ROMANO",guanciale-romano,publish,https://drycured.com/recepti-baza/guanciale-romano/,,,MD-GUANCIALE_ROMANO
1992,"Engleska Cumberland Kobasica",engleska-cumberland-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1992,,,UK-ENGLESKA_CUMBERLAND_KOBASICA-0012
1993,"Škotska Lorne Kobasica",skotska-lorne-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1993,,,UK-SKOTSKA_LORNE_KOBASICA-0013
1994,"Islandska Hangikjöt Kobasica",islandska-hangikjot-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1994,,,IS-ISLANDSKA_HANGIKJOT_KOBASICA-0015
1995,"Posavska Krvavica sa Šumskim Začinima",posavska-krvavica-sa-sumskim-zacinima,private,https://drycured.com/?post_type=dry_recipe&p=1995,,,MD-POSAVSKA_KRVAVICA_SA_SUMSKIM_ZACINIMA
1996,"Tradicionalni suhomesnati proizvodi Slavonije",tradicionalni-suhomesnati-proizvodi-slavonije,draft,https://drycured.com/?post_type=dry_recipe&p=1996,,,HR-TRADICIONALNI_SUHOMESNATI_PROIZVODI_SLAVON-0021
1997,"Etnografska studija kulinarskog naslijeđa",etnografska-studija-kulinarskog-naslijeda,draft,https://drycured.com/?post_type=dry_recipe&p=1997,,,HR-ETNOGRAFSKA_STUDIJA_KULINARSKOG_NASLIJE_A-0022
1998,"Tradicionalni suhomesnati proizvodi",tradicionalni-suhomesnati-proizvodi,draft,https://drycured.com/?post_type=dry_recipe&p=1998,,,HR-TRADICIONALNI_SUHOMESNATI_PROIZVODI-0023
1999,"Salo (Сало) - Ukrajinska slanina",salo-%d1%81%d0%b0%d0%bb%d0%be-ukrajinska-slanina,draft,https://drycured.com/?post_type=dry_recipe&p=1999,,,UA-SALO_UKRAJINSKA_SLANINA-0024
2000,"Domašnja Kovbasa (Домашня ковбаса) - Domaća kobasica",domasnja-kovbasa-%d0%b4%d0%be%d0%bc%d0%b0%d1%88%d0%bd%d1%8f-%d0%ba%d0%be%d0%b2%d0%b1%d0%b0%d1%81%d0%b0-domaca-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=2000,,,UA-DOMASNJA_KOVBASA_DOMACA_KOBASICA-0025
2001,"Kholodets (Холодець) - Hladetina od mesa",kholodets-%d1%85%d0%be%d0%bb%d0%be%d0%b4%d0%b5%d1%86%d1%8c-hladetina-od-mesa,draft,https://drycured.com/?post_type=dry_recipe&p=2001,,,UA-KHOLODETS_HLADETINA_OD_MESA-0027
2002,"Solonina (Солонина) - Salamurena govedina",solonina-%d1%81%d0%be%d0%bb%d0%be%d0%bd%d0%b8%d0%bd%d0%b0-salamurena-govedina,draft,https://drycured.com/?post_type=dry_recipe&p=2002,,,UA-SOLONINA_SALAMURENA_GOVEDINA-0028
2003,"Shukhevychivska Kovbasa (Шухевичівська ковбаса) - Sušena kobasica s paprom",shukhevychivska-kovbasa-%d1%88%d1%83%d1%85%d0%b5%d0%b2%d0%b8%d1%87%d1%96%d0%b2%d1%81%d1%8c%d0%ba%d0%b0-%d0%ba%d0%be%d0%b2%d0%b1%d0%b0%d1%81%d0%b0-susena-kobasica-s-paprom,draft,https://drycured.com/?post_type=dry_recipe&p=2003,,,UA-SHUKHEVYCHIVSKA_KOVBASA_SUSENA_KOBASICA_S_-0030
2004,"Pashtetna (Паштетна) - Pečena mesna pašteta",pashtetna-%d0%bf%d0%b0%d1%88%d1%82%d0%b5%d1%82%d0%bd%d0%b0-pecena-mesna-pasteta,draft,https://drycured.com/?post_type=dry_recipe&p=2004,,,UA-PASHTETNA_PECENA_MESNA_PASTETA-0031
2005,"UJEDINJENO KRALJEVSTVO - Tradicionalni recepti",ujedinjeno-kraljevstvo-tradicionalni-recepti,draft,https://drycured.com/?post_type=dry_recipe&p=2005,,,EU-UJEDINJENO_KRALJEVSTVO_TRADICIONALNI_RECEP-0051
2006,"Cumberland Sausage",cumberland-sausage,draft,https://drycured.com/?post_type=dry_recipe&p=2006,,,EU-CUMBERLAND_SAUSAGE-0052
2007,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe,draft,https://drycured.com/?post_type=dry_recipe&p=2007,,,GR-KOMPLEKSNA_ZBIRKA_TRADICIONALNIH_SUHOMESNA-0054
2008,"GRČKA - Tradicionalni recepti za Loukaniko",grcka-tradicionalni-recepti-za-loukaniko,draft,https://drycured.com/?post_type=dry_recipe&p=2008,,,GR-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO-0055
2009,"Tradicionalni Loukaniko sa Krete",tradicionalni-loukaniko-sa-krete,draft,https://drycured.com/?post_type=dry_recipe&p=2009,,,EU-TRADICIONALNI_LOUKANIKO_SA_KRETE-0056
2010,"Makedončki Loukaniko sa Planinom",makedoncki-loukaniko-sa-planinom,draft,https://drycured.com/?post_type=dry_recipe&p=2010,,,EU-MAKEDONCKI_LOUKANIKO_SA_PLANINOM-0057
2011,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe-2,draft,https://drycured.com/?post_type=dry_recipe&p=2011,,,FR-KOMPLEKSNA_ZBIRKA_TRADICIONALNIH_SUHOMESNA-0061
2012,"FRANCUSKA - Tradicionalni recepti za saucisson",francuska-tradicionalni-recepti-za-saucisson,draft,https://drycured.com/?post_type=dry_recipe&p=2012,,,FR-FRANCUSKA_TRADICIONALNI_RECEPTI_ZA_SAUCISS-0062
2013,"Saucisson sec iz Lyona",saucisson-sec-iz-lyona,draft,https://drycured.com/?post_type=dry_recipe&p=2013,,,EU-SAUCISSON_SEC_IZ_LYONA-0063
2014,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe-3,draft,https://drycured.com/?post_type=dry_recipe&p=2014,,,CZ-KOMPLEKSNA_ZBIRKA_TRADICIONALNIH_SUHOMESNA-0064
2015,"ČEŠKA - Tradicionalni recepti",ceska-tradicionalni-recepti,draft,https://drycured.com/?post_type=dry_recipe&p=2015,,,CZ-CESKA_TRADICIONALNI_RECEPTI-0065
2016,"Lovecká Saláma (Lovačka salama)",lovecka-salama-lovacka-salama,draft,https://drycured.com/?post_type=dry_recipe&p=2016,,,EU-LOVECKA_SALAMA-0066
2017,"Drisheen (Tradicionalna irska krvavica od ovčje krvi)",drisheen-tradicionalna-irska-krvavica-od-ovcje-krvi,private,https://drycured.com/?post_type=dry_recipe&p=2017,,,MD-DRISHEEN_TRADICIONALNA_IRSKA_KRVAVICA_OD_OVCJE_KRVI
2018,"Irska salama (Spiced Irish Salami)",irska-salama-spiced-irish-salami,publish,https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,,,MD-IRSKA_SALAMA_SPICED_IRISH_SALAMI
2019,"Landjäger kobasice s bavarskom salatom od krumpira",landjager-kobasice-s-bavarskom-salatom-od-krumpira,private,https://drycured.com/?post_type=dry_recipe&p=2019,,,MD-LANDJAGER_KOBASICE_S_BAVARSKOM_SALATOM_OD_KRUMPIRA
