key,label,status,severity,note
"public_update_false","Javni update zabranjen","PASS","BLOCKER","Mora ostati false do završnog QA-a."
"draft_status","Status radnog nacrta","PASS","BLOCKER","Recept mora ostati radni nacrt."
"not_public_verified","Nije označen kao public verified","PASS","BLOCKER","Ne smije biti public_verified dok izvor i QA nisu završeni."
"recipe_type","Tip recepta GROUND_MEAT_OR_CASING","PASS","BLOCKER","Za ovaj pilot koristi se samo model mljevenog/usitnjenog mesa u omotaču."
"source_status","Status izvora upisan","PASS","BLOCKER","Proizvod je potvrđen, recept još nije kanonski potvrđen."
"protected_status_false","Ne tvrdi zaštićeni status","PASS","BLOCKER","Ne smije se tvrditi aktualni IGP/ZOI status."
"batch_10kg","Šarža 10 kg","PASS","MAJOR","Svi recepti u sustavu moraju biti standardizirani na 10 kg."
"raw_materials_present","Sirovine u kg postoje","PASS","MAJOR","Meso i masnoća moraju biti u kg."
"raw_materials_sum","Zbroj sirovina približno 10 kg","PASS","MAJOR","Zbroj pronađenih amount_kg vrijednosti je 10.0 kg."
"spices_present","Začini i dodaci u g postoje","PASS","MAJOR","Začini moraju biti u g."
"salt_200g","Sol 200 g / 20 g/kg","PASS","MAJOR","Sol je u razumnom osnovnom rasponu za suhi proizvod."
"starter_blocker","Starter kultura označena za provjeru","PASS","BLOCKER","Starter ne smije u javni recept bez provjere deklaracije proizvođača."
"liquids_present","Tekućine upisane","PASS","MINOR","Tekućine su vidljive, ali voda za starter ostaje vezana uz provjeru startera."
"garlic_mode","Češnjak jasno definiran","PASS","MAJOR","U ovom nacrtu nema procijeđene tekućine od češnjaka."
"grinding","Granulacija i hladna obrada","PASS","MAJOR","Za mljeveni proizvod mora postojati rešetka u mm i kontrola temperature."
"fat_handling","Obrada masnoće opisana","PASS","MAJOR","Masnoća mora ostati hladna i čvrsta."
"casing","Crijeva i namakanje","PASS","MAJOR","Crijeva imaju tip, promjer, tekućinu, vrijeme i temperaturu namakanja."
"process","Procesni blok postoji","PASS","MAJOR","Proces mora biti strukturiran po fazama."
"smoking_blocker","Dimljenje označeno kao needs_confirmation","PASS","BLOCKER","Dimljenje ne smije biti javno prikazano kao obvezno bez dodatnog izvora."
"drying_params","Sušenje/zrenje ima parametre","PASS","MAJOR","Sušenje/zrenje ima radne parametre."
"nitrite","Nitritna sol nije navedena","PASS","MAJOR","Ako se kasnije doda nitrit, obvezna je sigurnosna napomena."
"done_when","Gotovo je kad blok postoji","PASS","MAJOR","Recept mora imati kriterije gotovosti."
"errors_solutions","Problemi imaju rješenja","PASS","MAJOR","Svaki problem mora imati konkretno rješenje."
"serving_storage","Posluživanje i čuvanje postoje","PASS","MINOR","Treba biti vidljivo za javni prikaz."
"qa_blockers","Blokade prije javnog updatea postoje","PASS","BLOCKER","Javni update mora ostati blokiran."
