key,label,status,severity,note
post_exists,"Post 2697 postoji",PASS,BLOCKER,"WP zapis mora postojati."
post_type,"Post je dry_recipe",PASS,BLOCKER,"Očekuje se dry_recipe."
post_publish,"Post je publish",PASS,MAJOR,"Strict queue ga je odabrao kao javni zapis."
title_identity,"Naziv odgovara Baranjskoj kobasici",PASS,BLOCKER,"Provjera identiteta recepta."
http_200,"Javni HTTP je 200",PASS,MAJOR,"Javni zapis mora biti dohvatljiv."
type_ground_signal,"Signal mljevenog proizvoda u ovitku",PASS,BLOCKER,"Kobasica ide u GROUND_MEAT_OR_CASING."
hr_region_signal,"Signal Baranja/Slavonija",PASS,MAJOR,"Mora imati hrvatski regionalni signal."
no_public_internal_terms,"Javni prikaz nema interne oznake",PASS,MAJOR,"Javni recept ne smije imati interne QA/preview oznake."
meta__dry_recipe_id,"Meta postoji: _dry_recipe_id",PASS,MAJOR,"Pregled postojećeg meta stanja; ne znači da je javno spremno."
meta__dry_recipe_full_markdown,"Meta postoji: _dry_recipe_full_markdown",PASS,INFO,"Pregled postojećeg meta stanja; ne znači da je javno spremno."
meta__dry_recipe_image_url,"Meta postoji: _dry_recipe_image_url",FAIL,INFO,"Pregled postojećeg meta stanja; ne znači da je javno spremno."
meta__dry_recipe_sections,"Meta postoji: _dry_recipe_sections",FAIL,INFO,"Pregled postojećeg meta stanja; ne znači da je javno spremno."
meta__dry_verified_process,"Meta postoji: _dry_verified_process",FAIL,INFO,"Pregled postojećeg meta stanja; ne znači da je javno spremno."
