slug,title,words,h2,links,status,errors
"ph-u-fermentiranim-kobasicama","pH u fermentiranim kobasicama: što brojka govori, a što ne govori",1328,21,8,PASS,""
"seceri-u-fermentaciji-kobasica","Šećeri u fermentaciji kobasica: hrana za kulturu, ne slatki dodatak",1266,21,7,PASS,""
"prirodna-fermentacija-i-starter-kulture","Prirodna fermentacija i starter kulture: dvije logike istog cilja",1279,21,8,PASS,""
"temperatura-fermentacije-kobasica","Temperatura fermentacije kobasica: zašto topla prostorija nije uvijek dobra ideja",1322,22,8,PASS,""
"vlaga-tijekom-fermentacije-kobasica","Vlaga tijekom fermentacije kobasica: kako sačuvati površinu prije sušenja",1321,22,9,PASS,""
"sto-ako-fermentacija-ne-krene","Što ako fermentacija ne krene: mirna provjera prije panike",1298,22,7,PASS,""
"starter-kulture-cuvanje-i-doziranje","Starter kulture: čuvanje, doziranje i pogreške koje početnik lako napravi",1319,22,8,PASS,""
"ph-metar-ili-ph-trakice-u-domacoj-proizvodnji","pH metar ili pH trakice u domaćoj proizvodnji: što je dovoljno za početak",1316,22,7,PASS,""
"vodna-aktivnost-i-gubitak-mase-zajedno","Vodna aktivnost i gubitak mase: dvije različite stvari koje početnik lako pomiješa",1259,21,7,PASS,""
"fermentirano-ili-pokvareno-kako-razlikovati","Fermentirano ili pokvareno: kako razlikovati dobar proces od opasnog znaka",1321,22,8,PASS,""
