"id","title","slug","status","url","words","h2","internal_links","external_links","has_problem_solution","has_seo_title","has_seo_description","has_featured_image","content_type","intent","phase","product","level","content_qa_needed","seo_needed","issues"
"97","Kako napraviti domaće kobasice: vodič za početnike","kako-napraviti-domace-kobasice-vodic-za-pocetnike","publish","https://drycured.com/2025/02/16/kako-napraviti-domace-kobasice-vodic-za-pocetnike/","1289","20","9","0","1","1","1","0","practical_guide","process","stuffing","sausages_salami","beginner","0","0",""
"99","Vodič za domaću izradu kobasica i suhomesnatih proizvoda","vodic-za-domacu-izradu-kobasica-i-suhomesnatih-proizvoda","publish","https://drycured.com/2025/02/16/vodic-za-domacu-izradu-kobasica-i-suhomesnatih-proizvoda/","1270","20","10","0","1","1","1","0","practical_guide","basics","general_process","general_multiple_products","beginner","0","0",""
"429","Domaće uzgojeno meso: kada pomaže u izradi suhomesnatih proizvoda","prednosti-domace-uzgojenog-mesa-kod-izrade-suhomesnatih-proizvoda","publish","https://drycured.com/2025/02/22/prednosti-domace-uzgojenog-mesa-kod-izrade-suhomesnatih-proizvoda/","1203","18","6","0","1","1","1","0","general_article","raw_material","raw_material","general_multiple_products","beginner","0","0",""
"464","Pasmine i tipovi svinja: zašto genetika, hranidba i mast mijenjaju proizvod","vrste-svinja","publish","https://drycured.com/2025/02/23/vrste-svinja/","1302","20","8","0","1","1","1","0","scientific_explanation","raw_material","raw_material","general_multiple_products","intermediate","0","0",""
"1438","Proljeće na tanjuru: kako suhomesnate proizvode koristiti lakše i pametnije","proljece-na-tanjuru-kako-suseno-meso-ozivljava-sezonske-recepte","publish","https://drycured.com/2026/03/23/proljece-na-tanjuru-kako-suseno-meso-ozivljava-sezonske-recepte/","1273","20","8","0","1","1","1","0","seasonal_promotional","inspiration","storage_packaging","general_multiple_products","beginner","0","0",""
"1439","Osnovna podjela suhomesnatih proizvoda: svježi, suhi, dimljeni i dugozreli","osnovna-podjela-suhomesnatih-proizvoda","publish","https://drycured.com/2026/03/23/osnovna-podjela-suhomesnatih-proizvoda/","1279","19","7","0","1","1","1","0","general_article","basics","general_process","general_multiple_products","beginner","0","0",""
"1440","Što su suhomesnati proizvodi: osnovno objašnjenje za početnike","sto-su-suhomesnati-proizvodi","publish","https://drycured.com/2026/03/23/sto-su-suhomesnati-proizvodi/","1316","19","7","0","1","1","1","0","general_article","basics","general_process","general_multiple_products","beginner","0","0",""
"1441","Uvod u svijet suhomesnatih proizvoda: od osnovnih pojmova do prve šarže","uvod-u-svijet-suhomesnatih-proizvoda","publish","https://drycured.com/2026/03/23/uvod-u-svijet-suhomesnatih-proizvoda/","1203","19","7","0","1","1","1","0","general_article","basics","general_process","general_multiple_products","beginner","0","0",""
"1462","Proljetni izbor suhomesnatih proizvoda: čuvanje, rezanje i laganije posluživanje","proljetna-ponuda-suhomesnatih-proizvoda","publish","https://drycured.com/2026/03/28/proljetna-ponuda-suhomesnatih-proizvoda/","1320","21","8","0","1","1","1","0","seasonal_promotional","inspiration","storage_packaging","general_multiple_products","beginner","0","0",""
"1464","Domaća slanina: prednosti, granice i pravilno čuvanje","prednosti-domace-slanine","publish","https://drycured.com/2026/03/28/prednosti-domace-slanine/","1201","18","6","0","1","1","1","0","product_article","basics","storage_packaging","pancetta_bacon","beginner","0","0",""
"1470","Slavonski kulen: tradicija, tehnologija i zrenje","slavonski-domaci-kulen-ponos-hrvatske-tradicije","publish","https://drycured.com/2026/03/28/slavonski-domaci-kulen-ponos-hrvatske-tradicije/","948","9","6","0","0","1","1","1","product_article","process","drying_maturation","kulen","intermediate","1","0","words 948/1100; missing problem-solution"
