wp_post_id,stable_recipe_id,title,product_group,evidence_blocks_found,evidence_blocks_missing,missing_evidence_blocks,forbidden_evidence_found,editor_priority,source_sha256
3094,MD-ELENA_FILET,Elena filet (Еленски филе),CIJELI_KOMAD,11,4,turning_pressing|maturation|mistakes_solutions|safety,grinding_granulation,HIGH,688d75f871564663b47ce19f6c599365feae6f0a3b590c3ba844e3337c0ac6cd
3105,MD-APOHTI_DIMLJENI_SVINJSKI_FILE,Apohti (Απόχτι) – Dimljeni svinjski file,CIJELI_KOMAD,11,4,cure_or_brine|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,e2c533809b86512c2e13959f6f97cbddf4e07c77d0aefa6ab639cf5248ee392b
3142,MD-HEILHORNA_HANGIKJOT_SUSENA_JANJECA_REBRA,Heilhornað Hangikjöt (Sušena janjeća rebra),CIJELI_KOMAD,9,6,cure_or_brine|turning_pressing|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,4ba63906e929e95ebb2fa5350924b4af470b4d6d5c7cb4b1374edf13fc908ab4
3175,MD-PINNEKJ_TT_SUSENA_REBRA,PINNEKJØTT (SUŠENA REBRA),CIJELI_KOMAD,9,6,cure_or_brine|turning_pressing|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,b590f821dbf21b31b11e3fdf9dddf37f8e8f690a567d0016185baab23cad3154
3188,MD-LOUNTZA_KAFTERI_LJUTA_DIMLJENA_SVINJSKA_VRATINA,Lountza Kafteri (Λούντζα Καυτερή) – Ljuta dimljena svinjska vratina,CIJELI_KOMAD,10,5,cure_or_brine|turning_pressing|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,f4476a8b25b05791e585a87195d728ec52310fdf05d0048af32fe5175bc4f1c2
3205,MD-PASTRAM_DE_OAIE_SUSENA_OVCETINA,PASTRAMĂ DE OAIE (Sušena ovčetina),CIJELI_KOMAD,8,7,cure_or_brine|smoking|drying|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,d23ee40a2a3417cbdba8e0af80723e7e2597064acbf6e50d7055b230db23572a
3212,MD-LOMO_EMBUCHADO_ZACINJENA_SUHA_SVINJSKA_LEDA,Lomo Embuchado – Začinjena Suha Svinjska Leđa,CIJELI_KOMAD,12,3,smoking|mistakes_solutions|safety,grinding_granulation|casing,HIGH,62801ad219bd4dfb97564c6e55e647de8c04f226ef7e98a61e177fe1bbba0602
2037,MD-HANGIKJOT_DIMLJENI_JANJETI_BUT,Hangikjöt (Dimljeni janjeti but),CIJELI_KOMAD,9,6,turning_pressing|drying|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,aa094166c810e40bc65ecfbaf5ca28f828c59bf454c7d60ad60c58678f9e9c2c
2064,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,COPPA (CAPOCOLLO) – TALIJANSKA VRATINA,CIJELI_KOMAD,10,5,origin_country_region|turning_pressing|smoking|mistakes_solutions|safety,grinding_granulation|casing,HIGH,70e093701db5732c54bd6dd7af73a42cbd77f76dfc8420f667c924215e869dfa
2552,MD-OTOCAC_ZACINSKI_VRAT_S_PLANINE_MOUNTAINSKI_NARESAK,Otočac Začinski Vrat s Planine (Mountainski naresak),CIJELI_KOMAD,7,8,cure_or_brine|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,45992f11281c31298d718cb4187734f84360aee448b259c9824bed937e4a6535
2604,MD-OSIJECKI_LJUTI_ZACINSKI_VRAT_S_DIVLJIM_TRAVKAMA,Osiječki Ljuti Začinski Vrat s Divljim Travkama,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,,HIGH,bb318d05ca9202e126fb89d7fd35f3025d51de43288c45aa075240147c77126e
2606,MD-POZESKI_AROMATICNI_SUSENI_VRAT_S_DIVLJIM_TRAVKAMA,Požeški Aromatični Sušeni Vrat s Divljim Travkama,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,,HIGH,bb6b312e0d4771665325ed4e88cb31632638ad430a166cf8123433fa291b18de
2694,MD-POZESKI_PIKANTNI_VRAT,Požeški Pikantni Vrat,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,,HIGH,6a90ffc16a235bc9708710badd9ecb726a3705ba7fcc7430ea0d5b5c6dd329cd
2696,MD-NASICKI_FERMENTIRANI_VRAT,Nasički Fermentirani Vrat,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,,HIGH,58ba38360d7d82e81ac5d5bc93f2793e731a3426f5f4b80b30c5ce2f7aece7f5
2703,MD-ERDUTSKI_FERMENTIRANI_VRAT_S_PODUNAVSKIM_ZACINIMA,Erdutski Fermentirani Vrat s Podunavskim Začinima,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,,HIGH,0ac30257abe3a91cfc93c98f6bf19a0723ff48731cafdc439474c7a1d4b2f035
