slug,title,words,h2,links,status,errors
"kako-mjeriti-temperaturu-i-vlagu-u-susionici","Kako mjeriti temperaturu i vlagu u kućnoj sušionici",1261,21,9,PASS,""
"strujanje-zraka-u-susenju-suhomesnatih-proizvoda","Strujanje zraka u sušenju suhomesnatih proizvoda: razlika između zraka i propuha",1223,21,8,PASS,""
"nocni-i-dnevni-ritam-susionice","Noćni i dnevni ritam sušionice: zašto prostor nikad nije isti cijeli dan",1204,21,8,PASS,""
"kada-otvoriti-a-kada-zatvoriti-susionicu","Kada otvoriti, a kada zatvoriti sušionicu",1204,21,8,PASS,""
"tanki-plavi-dim-u-domacoj-pusnici","Tanak plavi dim u domaćoj pušnici: znak mirnog dima, ne jakog dima",1264,21,8,PASS,""
"raspored-proizvoda-u-susionici","Raspored proizvoda u sušionici: zašto razmak odlučuje o ravnomjernom sušenju",1220,21,8,PASS,""
"prva-72-sata-susenja-kobasica","Prva 72 sata sušenja kobasica: najosjetljiviji početak procesa",1200,21,9,PASS,""
"kako-prepoznati-presporo-susenje","Kako prepoznati presporo sušenje suhomesnatih proizvoda",1181,21,9,PASS,""
"kako-voditi-dimljenje-u-ciklusima","Kako voditi dimljenje u ciklusima: dim, odmor i kontrola mirisa",1207,21,7,PASS,""
"sezona-susenja-i-planiranje-sarze","Sezona sušenja i planiranje šarže: kada vrijeme radi za proizvod",1196,21,8,PASS,""
"kako-prepoznati-dobar-miris-u-susionici","Kako prepoznati dobar miris u sušionici",1228,21,8,PASS,""
"kada-je-suhomesnati-proizvod-spreman-za-pakiranje","Kada je suhomesnati proizvod spreman za pakiranje",1184,21,8,PASS,""
