key,label,status,severity,note
source_unchanged,"Source 3042 nije mijenjan nakon patcha",PASS,BLOCKER,"Source mora ostati netaknut."
clone_private,"Clone 3535 je private",PASS,BLOCKER,"Clone mora ostati private."
clone_type,"Clone 3535 je dry_recipe",PASS,BLOCKER,"Clone mora ostati dry_recipe."
clone_id_meta,"Clone ima _dry_recipe_id",PASS,BLOCKER,"Meta-normalizer patch mora ostati prisutan."
public_update_0,"Public update ostaje 0",PASS,BLOCKER,"Privatni clone ne smije signalizirati javni update."
public_verified_0,"Public verified ostaje 0",PASS,BLOCKER,"Privatni clone ne smije biti public verified."
preview_mode,"Preview mode ostaje PRIVATE_CLONE_ONLY",PASS,BLOCKER,"Privatni status mora biti jasan."
source_link,"Clone ostaje vezan na source 3042",PASS,BLOCKER,"Veza na source mora ostati 3042."
public_404,"Privatni clone javno nije izložen",PASS,BLOCKER,"Javni fetch ne smije prikazati recept."
render_has_title,"Render sadrži naslov",PASS,MAJOR,"Interni render mora sadržavati naslov."
render_has_private_notice,"Render ima privatnu napomenu",PASS,MAJOR,"Privatni clone mora ostati jasno označen."
render_has_raw_materials,"Render ima sirovine",PASS,MAJOR,"Sirovine moraju biti vidljive."
render_has_spices,"Render ima začine",PASS,MAJOR,"Začini moraju biti vidljivi."
render_has_grinding,"Render ima mljevenje/granulaciju",PASS,MAJOR,"Granulacija mora biti vidljiva."
render_has_casing,"Render ima crijeva/ovitak",PASS,MAJOR,"Crijeva i namakanje moraju biti vidljivi."
render_has_errors,"Render ima greške/rješenja",PASS,MAJOR,"Problemi moraju imati rješenja."
render_has_blockers,"Render ima aktivne blokade",PASS,MAJOR,"Blokade moraju ostati vidljive interno."
image_url_skipped,"Slika je i dalje preskočena",PASS,INFO,"To je očekivano jer nije bilo dostupne vrijednosti."
raw_markdown_state_recorded,"Raw markdown stanje zabilježeno",PASS,INFO,"Ovaj check ne prolazi/ne pada; bilježi stanje za odluku."
