slug,title,words,h2,links,status,errors
"kobasica-za-pecenje-ili-susenje","Kobasica za pečenje ili sušenje: odluka koja se donosi prije mljevenja",1461,24,9,PASS,""
"kako-odabrati-prvi-suhomesnati-proizvod","Kako odabrati prvi suhomesnati proizvod za kućnu proizvodnju",1423,24,9,PASS,""
"slanina-panceta-spek-prakticna-razlika","Slanina, panceta i špek: praktična razlika za početnike",1416,24,9,PASS,""
"kulen-kulenova-seka-domaca-kobasica-pocetnik","Kulen, kulenova seka i domaća kobasica: što je za početnika realno",1465,25,9,PASS,""
"cijeli-komadi-ili-kobasice-kako-izabrati","Cijeli komadi ili kobasice: kako izabrati prema prostoru, vremenu i iskustvu",1478,25,8,PASS,""
"prvo-rezanje-suhomesnatog-proizvoda","Prvo rezanje suhomesnatog proizvoda: što presjek govori o cijelom procesu",1452,25,9,PASS,""
"mala-degustacija-sarze-kako-ocijeniti-proizvod","Mala degustacija šarže: kako ocijeniti proizvod bez zavaravanja",1467,25,8,PASS,""
"usporedba-dvije-sarze-suhomesnatih-proizvoda","Usporedba dvije šarže: kako učiti iz razlike, a ne iz dojma",1470,25,8,PASS,""
"najcesci-mitovi-o-domacim-suhomesnatim-proizvodima","Najčešći mitovi o domaćim suhomesnatim proizvodima",1423,24,8,PASS,""
"kuhinjska-upotreba-suhomesnatih-proizvoda-bez-pretjerivanja","Kuhinjska upotreba suhomesnatih proizvoda bez pretjerivanja",1418,24,9,PASS,""
