post_id,server_title,slug,status,url,preporucena_odluka,best_source_candidate,best_score,urednicka_napomena,sljedeci_korak
1975,Istarska kobasica,istarska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1975,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Istarske kobasice,0.882,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
1976,Primorska kobasica,primorska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1976,SUMNJIVI_GENERIRANI_NAZIV_TREBA_JAK_IZVOR,Primorske kobasice,0.889,Naziv izgleda urednički ili generirano; ne uređivati javno bez zasebnog izvora.,za public verified otvoriti pojedinačni dosje
1977,Creski udić — pršut od ovce,creski-udic-prsut-od-ovce,draft,https://drycured.com/?post_type=dry_recipe&p=1977,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Sirijski sudžuk,0.400,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
1978,Creska janjeća roštilj kobasica,creska-janjeca-rostilj-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1978,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Roštilj kobasice,0.638,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
1996,Tradicionalni suhomesnati proizvodi Slavonije,tradicionalni-suhomesnati-proizvodi-slavonije,draft,https://drycured.com/?post_type=dry_recipe&p=1996,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Teleća ili svinjska jetrena pašteta,0.350,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
1997,Etnografska studija kulinarskog naslijeđa,etnografska-studija-kulinarskog-naslijeda,draft,https://drycured.com/?post_type=dry_recipe&p=1997,NIJE_RECEPT_ARHIVIRATI_ILI_PREBACITI_U_CLANAK,Vinogradarske kobasice,0.476,Ne izgleda kao pojedinačni proizvodni recept.,za public verified otvoriti pojedinačni dosje
1998,Tradicionalni suhomesnati proizvodi,tradicionalni-suhomesnati-proizvodi,draft,https://drycured.com/?post_type=dry_recipe&p=1998,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Teleća ili svinjska jetrena pašteta,0.343,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2076,"Senjska Morska Panceta ""Bura Intenzitet""",senjska-morska-panceta-bura-intenzitet,publish,https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,SUMNJIVI_GENERIRANI_NAZIV_TREBA_JAK_IZVOR,Samoborske češnjovke,0.414,Naziv izgleda urednički ili generirano; ne uređivati javno bez zasebnog izvora.,za public verified otvoriti pojedinačni dosje
2087,Podravska Krvavica,podravska-krvavica,private,https://drycured.com/?post_type=dry_recipe&p=2087,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Podravske kobasice,0.722,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2101,Vinkovački Slavonski Kulen - Stara obiteljska receptura,vinkovacki-slavonski-kulen-stara-obiteljska-receptura,publish,https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaće slaninske kobasice,0.436,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2186,Slavonski kulen / Slavonski kulin — ZOZP,hr-slv-kul-zozp-001,draft,https://drycured.com/?post_type=dry_recipe&p=2186,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.449,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2187,Slavonska kobasica — ZOZP,hr-slv-kob-zozp-001,draft,https://drycured.com/?post_type=dry_recipe&p=2187,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Slavonske kobasice,0.889,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2188,Slavonska cajna kobasica — tradicijska,hr-slv-caj-trad-001,draft,https://drycured.com/?post_type=dry_recipe&p=2188,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.593,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2189,Slavonska sušena slanina / Slavonski špek,hr-slv-sla-trad-001,draft,https://drycured.com/?post_type=dry_recipe&p=2189,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaće slaninske kobasice,0.406,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2224,Domaći pršut,hr-cjp-prs-001,draft,https://drycured.com/?post_type=dry_recipe&p=2224,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaći kulin,0.667,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2225,Suha šunka,hr-cjp-sun-001,draft,https://drycured.com/?post_type=dry_recipe&p=2225,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Primorska šunka,0.640,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2226,Suha lopatica / plećka,hr-cjp-ple-001,draft,https://drycured.com/?post_type=dry_recipe&p=2226,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Lovačka pašteta,0.514,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
