key,label,status,severity,note
post_exists,"Post 1982 postoji",PASS,BLOCKER,"WP zapis mora postojati."
post_type,"Post je dry_recipe",PASS,BLOCKER,"Očekuje se dry_recipe."
post_publish_or_private,"Post je publish ili private",PASS,MAJOR,"Status mora biti poznat za daljnji workflow."
title_finocchiona,"Naziv sadrži Finocchiona",PASS,MAJOR,"Provjera identiteta recepta."
public_http_200_if_publish,"Javni HTTP je 200 ako je publish",PASS,MAJOR,"Ako je publish, stranica mora biti dohvatljiva."
render_has_title,"Render sadrži naziv",PASS,MAJOR,"Interni render mora imati naziv."
http_has_title,"HTTP sadrži naziv",PASS,MAJOR,"Javni prikaz mora imati naziv ako je publish."
likely_ground_or_casing,"Vjerojatno mljeveni/omotač tip",PASS,MAJOR,"Za 01B očekuje se GROUND_MEAT_OR_CASING, ali treba potvrditi."
no_private_preview_trace_public,"Javni prikaz nema privatne/QA tragove",PASS,MAJOR,"Javni recept ne smije imati interne oznake."
meta__dry_recipe_id,"Meta postoji: _dry_recipe_id",PASS,MAJOR,"Pregled postojećeg meta stanja; ne znači automatski da je javno spremno."
meta__dry_recipe_full_markdown,"Meta postoji: _dry_recipe_full_markdown",PASS,INFO,"Pregled postojećeg meta stanja; ne znači automatski da je javno spremno."
meta__dry_recipe_image_url,"Meta postoji: _dry_recipe_image_url",FAIL,INFO,"Pregled postojećeg meta stanja; ne znači automatski da je javno spremno."
meta__dry_recipe_sections,"Meta postoji: _dry_recipe_sections",FAIL,INFO,"Pregled postojećeg meta stanja; ne znači automatski da je javno spremno."
meta__dry_verified_process,"Meta postoji: _dry_verified_process",FAIL,INFO,"Pregled postojećeg meta stanja; ne znači automatski da je javno spremno."
