post_id,recipe_id,post_title,meta_key,bad_value,context_excerpt
3227,MD-DIMLENYI_YAZYK_DIMLJENI_GOVEDI_JEZIK,"Dimlenyi Yazyk (Димлений язик) &#8211; Dimljeni goveđi jezik",_dry_recipe_full_markdown,"6,667","lista - 17 g korijena đumbira u prahu - 10 g klinčića - 6,667 L hladne vode - 200 ml jabukovog octa - Drvo za dimljenje: trešnja, jabuka ili hrast ### Cri"
3226,MD-MIASNYI_KHLIB_MESNI_KRUH,"Miasnyi Khlib (М&#8217;ясний хліб) &#8211; Mesni kruh",_dry_recipe_full_markdown,"6,667","ez vlažne jezgre ili sumnjive površine. ### Sastojci: - 6,667 kg svinjskog mesa (but) - 3,333 kg goveđeg mesa (plećka) - 5,557 kg svinjske slanine (bez ko"
3226,MD-MIASNYI_KHLIB_MESNI_KRUH,"Miasnyi Khlib (М&#8217;ясний хліб) &#8211; Mesni kruh",_dry_recipe_full_markdown,"3,333","ovršine. ### Sastojci: - 6,667 kg svinjskog mesa (but) - 3,333 kg goveđeg mesa (plećka) - 5,557 kg svinjske slanine (bez kože) - 667 g luka (2-3 glavice)"
3217,MD-CULATELLO_DI_ZIBELLO_KULATELO_IZ_ZIBELLA,"Culatello di Zibello &#8211; Kulatelo iz Zibella",_dry_recipe_full_markdown,"8,889","vlažne jezgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog buta - središnji dio (isključivo od svinja starijih od 9 mjeseci) -"
3217,MD-CULATELLO_DI_ZIBELLO_KULATELO_IZ_ZIBELLA,"Culatello di Zibello &#8211; Kulatelo iz Zibella",_dry_recipe_full_markdown,"11,111","zgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog buta - središnji dio (isključivo od svinja starijih od 9 mjeseci) - * 289 g mo"
3213,MD-CECINA_DE_LEON_SUSENA_GOVEDA_CECINA,"Cecina de León &#8211; Sušena Goveđa Cecina",_dry_recipe_full_markdown,"8,889","vlažne jezgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg goveđeg buta (tradicionalno dio ""tapilla"" - tanki dio) - * 267 g morske soli -"
3213,MD-CECINA_DE_LEON_SUSENA_GOVEDA_CECINA,"Cecina de León &#8211; Sušena Goveđa Cecina",_dry_recipe_full_markdown,"11,111","zgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg goveđeg buta (tradicionalno dio ""tapilla"" - tanki dio) - * 267 g morske soli - * 44 g še"
3212,MD-LOMO_EMBUCHADO_ZACINJENA_SUHA_SVINJSKA_LEDA,"Lomo Embuchado &#8211; Začinjena Suha Svinjska Leđa",_dry_recipe_full_markdown,"8,889","vlažne jezgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog filea (cijeli komad, očišćen od masnoće) - * 267 g morske soli -"
3212,MD-LOMO_EMBUCHADO_ZACINJENA_SUHA_SVINJSKA_LEDA,"Lomo Embuchado &#8211; Začinjena Suha Svinjska Leđa",_dry_recipe_full_markdown,"11,111","zgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog filea (cijeli komad, očišćen od masnoće) - * 267 g morske soli - * 133 g sla"
3168,MD-RAKFISK_FERMENTIRANI_SLATKOVODNI_LOSOS,"RAKFISK (FERMENTIRANI SLATKOVODNI LOSOS)",_dry_recipe_full_markdown,"6,667","ez vlažne jezgre ili sumnjive površine. ### Sastojci: - 6,667 kg pastrve ili slatkovodnog lososa (cijela riba 2,222 kg–4,444 kg po komadu) - 200 g grube m"
